Region;District;Pszenica;Żyto;Jęczmień;Owies;Gryka;Proso;Kukurydza;Mieszanki zbóż na ziarno (jęczmień i owies);Mieszanki zbóż na ziarno (inne);Groch;Fasola, Bób, Soczewica;Peluszka, wyka, bobik;Łubin;Seradela;Koniczyna;Pozostałe pastawne oraz mieszanki;Ziemniaki;Buraki Cukrowe;Len;Konopie;Rzepak i rzepik ozimy i jary;Chmiel;Cykoria
LWOWSKIE;JAROSŁAWSKI;8690.0;17672.0;4136.0;7847.0;758.0;568.0;60.0;476.0;82.0;59.0;30.0;390.0;891.0;260.0;3460.0;283.0;8562.0;1950.0;244.0;198.0;65.0;0.0;0.0
LWOWSKIE;JAWOROWSKI;3459.0;15666.0;3320.0;8392.0;1463.0;825.0;5.0;102.0;137.0;87.0;77.0;92.0;1787.0;487.0;1036.0;86.0;7103.0;61.0;623.0;361.0;0.0;0.0;0.0
LWOWSKIE;KOLBUSZOWSKI;2023.0;14452.0;2974.0;4527.0;513.0;568.0;1.0;25.0;182.0;23.0;29.0;82.0;2708.0;117.0;1061.0;47.0;7188.0;1.0;204.0;106.0;0.0;0.0;0.0
LWOWSKIE;KROŚNIEŃSKI;4806.0;7892.0;2999.0;6787.0;17.0;8.0;3.0;286.0;104.0;24.0;87.0;178.0;4.0;0.0;3242.0;82.0;5702.0;3.0;31.0;23.0;0.0;0.0;0.0
LWOWSKIE;LESKI;2634.0;6434.0;2072.0;23986.0;25.0;11.0;1.0;51.0;25.0;67.0;568.0;63.0;1019.0;0.0;2748.0;48.0;6801.0;4.0;439.0;187.0;0.0;0.0;0.0
LWOWSKIE;LUBACZOWSKI;4025.0;11346.0;3113.0;8526.0;1869.0;613.0;1.0;41.0;220.0;108.0;15.0;117.0;1228.0;301.0;1331.0;91.0;5833.0;0.0;439.0;388.0;0.0;39.0;0.0
LWOWSKIE;LWOWSKI;11512.0;13117.0;4997.0;11909.0;1736.0;632.0;102.0;302.0;230.0;196.0;292.0;221.0;267.0;4.0;5176.0;350.0;10459.0;172.0;320.0;186.0;3.0;0.0;0.0
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;MOŚCISKI;5623.0;12282.0;3255.0;4948.0;267.0;588.0;131.0;228.0;125.0;55.0;102.0;226.0;658.0;246.0;2150.0;236.0;6149.0;63.0;374.0;163.0;82.0;3.0;7.0
LWOWSKIE;NIŻAŃSKI;2505.0;9888.0;2054.0;2981.0;648.0;851.0;1.0;55.0;38.0;25.0;21.0;28.0;1052.0;69.0;653.0;23.0;5875.0;19.0;281.0;142.0;0.0;0.0;0.0
LWOWSKIE;PRZEMYSKI;9920.0;13276.0;3381.0;6298.0;130.0;136.0;34.0;220.0;102.0;108.0;226.0;594.0;73.0;4.0;4469.0;104.0;7421.0;945.0;114.0;160.0;20.0;0.0;0.0
LWOWSKIE;PRZEWORSKI;5021.0;6673.0;1223.0;3473.0;97.0;212.0;2.0;74.0;203.0;154.0;19.0;260.0;66.0;55.0;1928.0;327.0;3267.0;1246.0;2.0;8.0;47.0;0.0;0.0
LWOWSKIE;RAWSKI (RAWA RUSKA);8078.0;13639.0;6305.0;6900.0;1245.0;819.0;16.0;165.0;187.0;386.0;93.0;808.0;1203.0;161.0;2007.0;273.0;8333.0;537.0;214.0;430.0;77.0;3.0;0.0
LWOWSKIE;RUDECKI;5364.0;6293.0;3608.0;4839.0;583.0;750.0;458.0;138.0;103.0;80.0;405.0;180.0;75.0;0.0;1339.0;228.0;6254.0;161.0;578.0;158.0;15.0;0.0;0.0
LWOWSKIE;RZESZOWSKI;9840.0;16667.0;4506.0;6674.0;76.0;204.0;8.0;131.0;174.0;89.0;62.0;265.0;451.0;15.0;4795.0;319.0;8466.0;159.0;47.0;23.0;13.0;2.0;0.0
LWOWSKIE;SAMBORSKI;5889.0;12550.0;4283.0;6395.0;112.0;403.0;131.0;114.0;72.0;52.0;437.0;416.0;157.0;38.0;2378.0;104.0;9068.0;148.0;312.0;235.0;9.0;0.0;0.0
LWOWSKIE;SANOCKI;5379.0;7862.0;4390.0;13892.0;6.0;28.0;2.0;203.0;151.0;106.0;356.0;186.0;279.0;0.0;3607.0;84.0;7008.0;88.0;155.0;94.0;12.0;0.0;0.0
LWOWSKIE;SOKALSKI;12614.0;12160.0;6926.0;7504.0;1240.0;1039.0;23.0;560.0;232.0;854.0;73.0;838.0;187.0;3.0;3984.0;1067.0;9198.0;1156.0;422.0;505.0;13.0;0.0;0.0
LWOWSKIE;STAROSAMBORSKI;1965.0;4242.0;2104.0;9104.0;54.0;46.0;1.0;360.0;25.0;48.0;121.0;83.0;134.0;13.0;1538.0;17.0;4476.0;0.0;222.0;156.0;0.0;0.0;0.0
LWOWSKIE;STRZYŻOWSKI;5790.0;7552.0;2358.0;4928.0;30.0;74.0;0.0;226.0;93.0;58.0;229.0;170.0;120.0;20.0;3014.0;133.0;4049.0;39.0;40.0;65.0;56.0;3.0;0.0
LWOWSKIE;TARNOBRZESKI;2359.0;9112.0;2980.0;3392.0;188.0;729.0;1.0;39.0;78.0;5.0;22.0;284.0;435.0;77.0;1069.0;230.0;6635.0;278.0;94.0;99.0;6.0;14.0;0.0
LWOWSKIE;ŁAŃCUCKI;5463.0;15870.0;3735.0;5787.0;1271.0;1051.0;159.0;109.0;274.0;43.0;74.0;255.0;1099.0;502.0;2638.0;170.0;6736.0;249.0;536.0;204.0;19.0;55.0;0.0
LWOWSKIE;ŻÓŁKIEWSKI;7778.0;11786.0;3798.0;6224.0;1343.0;611.0;53.0;85.0;165.0;186.0;117.0;242.0;364.0;11.0;2061.0;120.0;6576.0;69.0;458.0;321.0;37.0;13.0;0.0
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;2861.0;39838.0;8745.0;15947.0;4401.0;10.0;1.0;476.0;108.0;1204.0;34.0;585.0;6672.0;3763.0;3275.0;528.0;16937.0;0.0;1554.0;44.0;16.0;0.0;0.0
NOWOGRÓDZKIE;LIDZKI;1251.0;78118.0;19653.0;24348.0;9443.0;11.0;1.0;818.0;609.0;7219.0;371.0;2739.0;10387.0;7158.0;10184.0;484.0;23884.0;0.0;3619.0;153.0;4.0;0.0;0.0
NOWOGRÓDZKIE;NIEŚWIESKI;3245.0;31428.0;6401.0;14994.0;1375.0;12.0;0.0;343.0;51.0;317.0;2.0;442.0;3226.0;2484.0;3979.0;158.0;13386.0;0.0;1087.0;17.0;1.0;0.0;0.0
NOWOGRÓDZKIE;NOWOGRÓDZKI;4360.0;34407.0;9137.0;15599.0;3805.0;3.0;2.0;378.0;217.0;2821.0;132.0;969.0;6977.0;2250.0;5056.0;153.0;14397.0;0.0;2823.0;156.0;107.0;0.0;0.0
