Region;District;Konie (sztuki);Byd≥o rogate (sztuki);Trzoda chlewna (sztuki);Owce i kozy (sztuki)
POLESKIE;BRZESKI (BRZEå∆ N.BUG.);33082.0;65033.0;29053.0;50375.0
POLESKIE;DROHICKI;16653.0;39289.0;21818.0;40481.0
POLESKIE;KOBRY—SKI;18217.0;63133.0;25340.0;51355.0
POLESKIE;KOSOWSKI (KOS”W POLESKI);13944.0;34548.0;21104.0;21291.0
POLESKIE;KOSZYRSKI;11646.0;50038.0;16797.0;49655.0
POLESKIE;PI—SKI;28542.0;77867.0;39055.0;62630.0
POLESKIE;PRUØA—SKI;18593.0;39758.0;25140.0;35486.0
POLESKIE;SARNE—SKI;23416.0;79555.0;46668.0;23153.0
POLESKIE;STOLI—SKI;22233.0;61992.0;26651.0;18482.0
POLESKIE;£UNINIECKI;19161.0;51795.0;24405.0;31521.0
POMORSKIE;BRODNICKI;12821.0;32600.0;26713.0;12696.0
POMORSKIE;CHE£MI—SKI;10270.0;24270.0;23581.0;19272.0
POMORSKIE;CHOJNICKI;8569.0;25785.0;22136.0;18130.0
POMORSKIE;DZIA£DOWSKI;5124.0;13873.0;9213.0;3619.0
POMORSKIE;GDYNIA (MIASTO);102.0;129.0;93.0;19.0
POMORSKIE;GNIEWSKI;5671.0;12387.0;11043.0;5775.0
POMORSKIE;GRUDZI•DZ (MIASTO);116.0;180.0;35.0;0.0
POMORSKIE;GRUDZI•DZKI;11780.0;26073.0;23400.0;16448.0
POMORSKIE;KARTUSKI;10187.0;26242.0;27641.0;12063.0
POMORSKIE;KOåCIERSKI;8304.0;22934.0;22302.0;13876.0
POMORSKIE;LUBAWSKI;13367.0;33969.0;27015.0;9408.0
POMORSKIE;MORSKI;9853.0;25336.0;23315.0;12714.0
POMORSKIE;STAROGARDZKI;8814.0;21161.0;18880.0;9464.0
POMORSKIE;S POLE—SKI;6286.0;19941.0;19014.0;19157.0
POMORSKIE;TCZEWSKI;4994.0;9112.0;7402.0;8796.0
POMORSKIE;TORU— (MIASTO);625.0;282.0;387.0;271.0
POMORSKIE;TORU—SKI;10375.0;25154.0;19899.0;13437.0
POMORSKIE;TUCHOLSKI;5826.0;15871.0;16487.0;9844.0
POMORSKIE;W•BRZESKI;10861.0;26193.0;22560.0;6405.0
POMORSKIE;åWIECKI;14499.0;33718.0;40614.0;14346.0
POZNA—SKIE;BYDGOSKI;11738.0;31479.0;28297.0;12258.0
POZNA—SKIE;BYDGOSZCZ (MIASTO);1472.0;1062.0;1146.0;1138.0
POZNA—SKIE;CHODZIESKI;8163.0;23560.0;21999.0;6847.0
POZNA—SKIE;CZARNKOWSKI;5054.0;13446.0;14795.0;4270.0
POZNA—SKIE;GNIEZNO (MIASTO);546.0;141.0;207.0;249.0
POZNA—SKIE;GNIEèNIE—SKI;12827.0;35478.0;32587.0;9255.0
POZNA—SKIE;GOSTY—SKI;8485.0;24792.0;17906.0;6837.0
POZNA—SKIE;GRODZISKI;5064.0;14669.0;11934.0;5441.0
POZNA—SKIE;INOWROC£AW (MIASTO);493.0;283.0;488.0;396.0
POZNA—SKIE;INOWROC£AWSKI;11518.0;32030.0;24333.0;11805.0
POZNA—SKIE;JAROCI—SKI;8421.0;24260.0;14862.0;10675.0
POZNA—SKIE;KOåCIA—SKI;7997.0;25260.0;16383.0;7242.0
POZNA—SKIE;KOèMI—SKI;6444.0;19204.0;12240.0;4020.0
POZNA—SKIE;KROTOSZY—SKI;5967.0;18266.0;12814.0;2316.0
POZNA—SKIE;K PI—SKI;8694.0;22611.0;18528.0;5758.0
POZNA—SKIE;LESZCZY—SKI;8098.0;26832.0;19891.0;5459.0
POZNA—SKIE;MI DZYCHODZKI;5587.0;14920.0;13298.0;3812.0
POZNA—SKIE;MOGILE—SKI;10322.0;26755.0;22736.0;7498.0
POZNA—SKIE;NOWOTOMYSKI;7443.0;22034.0;26412.0;8297.0
POZNA—SKIE;OBORNICKI;10625.0;30643.0;34077.0;10434.0
POZNA—SKIE;ODOLANOWSKI;5192.0;21461.0;13136.0;1565.0
POZNA—SKIE;OSTROWSKI (OSTR”W WIELKOPOLSKI);4577.0;13125.0;8351.0;3346.0
POZNA—SKIE;OSTRZESZOWSKI;5212.0;15917.0;10470.0;2159.0
POZNA—SKIE;PLESZEWSKI;5978.0;17018.0;10986.0;5941.0
POZNA—SKIE;POZNA— (MIASTO);2153.0;862.0;492.0;353.0
POZNA—SKIE;POZNA—SKI;14117.0;35875.0;28385.0;8422.0
POZNA—SKIE;RAWICKI;6329.0;22305.0;14592.0;2793.0
POZNA—SKIE;STRZELNE—SKI;7754.0;20169.0;13483.0;9970.0
POZNA—SKIE;SZAMOTULSKI;11013.0;27992.0;26092.0;13175.0
POZNA—SKIE;SZUBI—SKI;9599.0;26446.0;22055.0;7497.0
POZNA—SKIE;WOLSZTY—SKI;7199.0;24322.0;20592.0;6511.0
POZNA—SKIE;WRZESI—SKI;8304.0;23761.0;17568.0;4178.0
POZNA—SKIE;WYRZYSKI;13162.0;34788.0;32696.0;24004.0
POZNA—SKIE;W•GROWIECKI;12174.0;32632.0;37622.0;9462.0
POZNA—SKIE;åMIGIELSKI;6477.0;21584.0;16189.0;6312.0
POZNA—SKIE;åREDZKI;10571.0;27687.0;21825.0;7695.0
POZNA—SKIE;åREMSKI;9640.0;27602.0;21446.0;6342.0
POZNA—SKIE;ØNI—SKI;9362.0;25050.0;27287.0;8216.0
STANIS£AWOWSKIE;BOHORODCZA—SKI;6195.0;18143.0;7809.0;2463.0
STANIS£AWOWSKIE;DOLI—SKI;9814.0;42303.0;8923.0;14442.0
STANIS£AWOWSKIE;HORODE—SKI;18847.0;21097.0;14845.0;17299.0
STANIS£AWOWSKIE;KA£USKI;10195.0;32756.0;9657.0;3733.0
STANIS£AWOWSKIE;KOSOWSKI (KOS”W HUCULSKI);6042.0;29933.0;12076.0;52742.0
STANIS£AWOWSKIE;KO£OMYJSKI;17153.0;40479.0;20086.0;13890.0
STANIS£AWOWSKIE;NADW”RNIA—SKI;8194.0;26659.0;10675.0;19372.0
STANIS£AWOWSKIE;ROHATY—SKI;20386.0;39683.0;17405.0;1749.0
STANIS£AWOWSKIE;SKOLSKI;5760.0;22942.0;4264.0;7726.0
STANIS£AWOWSKIE;STANIS£AWOWSKI;12314.0;30745.0;9676.0;1035.0
STANIS£AWOWSKIE;STRYJSKI;7161.0;22845.0;5683.0;448.0
STANIS£AWOWSKIE;TURCZA—SKI;11511.0;41601.0;6126.0;8354.0
