Region;District;Polish;% Polish;Ukrainian;% Ukrainian;Ruthenian;% Ruthenian;Belarusian;% Belarusian;Russian;% Russian;German;% German;Jewish;% Jewish;Hebrew;% Hebrew;Other and unknown: total;% Other: total;Minorities total (excluding Polish nationality);% Minorities total
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;POZNAŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;RAWICKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;SZAMOTULSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;SZUBIŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;WOLSZTYŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;WRZESIŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;WYRZYSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;WĄGROWIECKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;ŚREDZKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;ŚREMSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;ŻNIŃSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;DOLIŃSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;HORODEŃSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;KAŁUSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;KOŁOMYJSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;ROHATYŃSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;STANISŁAWOWSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;STRYJSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;TŁUMACKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;ŚNIATYŃSKI;;;;;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;ŻYDACZOWSKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;BORSZCZOWSKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;BRODZKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;BRZEŻAŃSKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;BUCZACKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;CZORTKOWSKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;KAMIONECKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;KOPYCZYNIECKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;PODHAJECKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;PRZEMYŚLAŃSKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;RADZIECHOWSKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;SKAŁACKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;TARNOPOLSKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;TREMBOWELSKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;ZALESZCZYCKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;ZBARASKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;ZBOROWSKI;;;;;;;;;;;;;;;;;;;;
TARNOPOLSKIE;ZŁOCZOWSKI;;;;;;;;;;;;;;;;;;;;
WARSZAWSKIE;BŁOŃSKI;130553;0,9077275;38;0,000264212;4;2,78118E-05;29;0,000201635;128;0,000889977;775;0,00538853;11059;0,076892591;544;0,003782401;694;0,004825342;13271;0,0922725
WARSZAWSKIE;CIECHANOWSKI;71748;0,910935338;32;0,000406282;0;0;4;5,07853E-05;10;0,000126963;1882;0,023894468;4532;0,057539708;306;0,003885073;249;0,003161383;7015;0,089064662
WARSZAWSKIE;GOSTYNIŃSKI;69357;0,850317534;16;0,00019616;3;0,00003678;1;0,00001226;13;0,00015938;7532;0,092342398;4144;0,050805483;384;0,004707844;116;0,001422161;12209;0,149682466
WARSZAWSKIE;GRÓJECKI;114288;0,863482853;53;0,000400432;3;0,000022666;20;0,000151106;68;0,000513762;904;0,006830013;15568;0,117621282;899;0,006792236;554;0,004185649;18069;0,136517147
