Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Orthodox;% Orthodox;Evangelical;% Evangelical;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
POMORSKIE;TORUŃ (MIASTO);;;;;;;;;;;;;;
POMORSKIE;TORUŃSKI;;;;;;;;;;;;;;
POMORSKIE;TUCHOLSKI;;;;;;;;;;;;;;
POMORSKIE;WĄBRZESKI;;;;;;;;;;;;;;
POMORSKIE;ŚWIECKI;;;;;;;;;;;;;;
POZNAŃSKIE;BYDGOSKI;;;;;;;;;;;;;;
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;;;;;;;;;
POZNAŃSKIE;CHODZIESKI;;;;;;;;;;;;;;
POZNAŃSKIE;CZARNKOWSKI;;;;;;;;;;;;;;
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;;;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;GOSTYŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;;;;;;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;;;;;;;;;;;;;;
POZNAŃSKIE;JAROCIŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;KOŚCIAŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;KROTOSZYŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;KĘPIŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;LESZCZYŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;MIĘDZYCHODZKI;;;;;;;;;;;;;;
POZNAŃSKIE;MOGILEŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;NOWOTOMYSKI;;;;;;;;;;;;;;
POZNAŃSKIE;OBORNICKI;;;;;;;;;;;;;;
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);;;;;;;;;;;;;;
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;;;;;;;;;
POZNAŃSKIE;POZNAŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;RAWICKI;;;;;;;;;;;;;;
POZNAŃSKIE;SZAMOTULSKI;;;;;;;;;;;;;;
POZNAŃSKIE;SZUBIŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;WOLSZTYŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;WRZESIŃSKI;;;;;;;;;;;;;;
POZNAŃSKIE;WYRZYSKI;;;;;;;;;;;;;;
POZNAŃSKIE;WĄGROWIECKI;;;;;;;;;;;;;;
POZNAŃSKIE;ŚREDZKI;;;;;;;;;;;;;;
POZNAŃSKIE;ŚREMSKI;;;;;;;;;;;;;;
POZNAŃSKIE;ŻNIŃSKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;DOLIŃSKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;HORODEŃSKI;;;;;;;;;;;;;;
