District;Region;Large Land Estates/Number of estates/From 100 to 200;Large Land Estates/Total area/From 100 to 200;Large Land Estates/Arable land/From 100 to 200;Large Land Estates/Meadows/From 100 to 200;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 100 to 200;Large Land Estates/Orchards/From 100 to 200;Large Land Estates/Vegetable gardens/From 100 to 200;Large Land Estates/Parks/From 100 to 200;Large Land Estates/Land under forest use/From 100 to 200;Large Land Estates/Ponds and lakes/From 100 to 200;Large Land Estates/Under buildings and roads/From 100 to 200;Large Land Estates/Unproductive land/From 100 to 200;Large Land Estates/Number of estates/From 200 to 300;Large Land Estates/Total area/From 200 to 300;Large Land Estates/Arable land/From 200 to 300;Large Land Estates/Meadows/From 200 to 300;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 200 to 300;Large Land Estates/Orchards/From 200 to 300;Large Land Estates/Vegetable gardens/From 200 to 300;Large Land Estates/Parks/From 200 to 300;Large Land Estates/Land under forest use/From 200 to 300;Large Land Estates/Ponds and lakes/From 200 to 300;Large Land Estates/Under buildings and roads/From 200 to 300;Large Land Estates/Unproductive land/From 200 to 300;Large Land Estates/Number of estates/From 300 to 400;Large Land Estates/Total area/From 300 to 400;Large Land Estates/Arable land/From 300 to 400;Large Land Estates/Meadows/From 300 to 400;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 300 to 400;Large Land Estates/Orchards/From 300 to 400;Large Land Estates/Vegetable gardens/From 300 to 400;Large Land Estates/Parks/From 300 to 400;Large Land Estates/Land under forest use/From 300 to 400;Large Land Estates/Ponds and lakes/From 300 to 400;Large Land Estates/Under buildings and roads/From 300 to 400;Large Land Estates/Unproductive land/From 300 to 400;Large Land Estates/Number of estates/From 400 to 500;Large Land Estates/Total area/From 400 to 500;Large Land Estates/Arable land/From 400 to 500;Large Land Estates/Meadows/From 400 to 500;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 400 to 500;Large Land Estates/Orchards/From 400 to 500;Large Land Estates/Vegetable gardens/From 400 to 500;Large Land Estates/Parks/From 400 to 500;Large Land Estates/Land under forest use/From 400 to 500;Large Land Estates/Ponds and lakes/From 400 to 500;Large Land Estates/Under buildings and roads/From 400 to 500;Large Land Estates/Unproductive land/From 400 to 500;Large Land Estates/Number of estates/From 50 to 100;Large Land Estates/Total area/From 50 to 100;Large Land Estates/Arable land/From 50 to 100;Large Land Estates/Meadows/From 50 to 100;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 50 to 100;Large Land Estates/Orchards/From 50 to 100;Large Land Estates/Vegetable gardens/From 50 to 100;Large Land Estates/Parks/From 50 to 100;Large Land Estates/Land under forest use/From 50 to 100;Large Land Estates/Ponds and lakes/From 50 to 100;Large Land Estates/Under buildings and roads/From 50 to 100;Large Land Estates/Unproductive land/From 50 to 100;Large Land Estates/Number of estates/From 500 to 1000;Large Land Estates/Total area/From 500 to 1000;Large Land Estates/Arable land/From 500 to 1000;Large Land Estates/Meadows/From 500 to 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 500 to 1000;Large Land Estates/Orchards/From 500 to 1000;Large Land Estates/Vegetable gardens/From 500 to 1000;Large Land Estates/Parks/From 500 to 1000;Large Land Estates/Land under forest use/From 500 to 1000;Large Land Estates/Ponds and lakes/From 500 to 1000;Large Land Estates/Under buildings and roads/From 500 to 1000;Large Land Estates/Unproductive land/From 500 to 1000;Large Land Estates/Number of estates/Over 1000;Large Land Estates/Total area/Over 1000;Large Land Estates/Arable land/Over 1000;Large Land Estates/Meadows/Over 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Over 1000;Large Land Estates/Orchards/Over 1000;Large Land Estates/Vegetable gardens/Over 1000;Large Land Estates/Parks/Over 1000;Large Land Estates/Land under forest use/Over 1000;Large Land Estates/Ponds and lakes/Over 1000;Large Land Estates/Under buildings and roads/Over 1000;Large Land Estates/Unproductive land/Over 1000;Large Land Estates/Number of estates/Together;Large Land Estates/Total area/Together;Large Land Estates/Arable land/Together;Large Land Estates/Meadows/Together;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Together;Large Land Estates/Orchards/Together;Large Land Estates/Vegetable gardens/Together;Large Land Estates/Parks/Together;Large Land Estates/Land under forest use/Together;Large Land Estates/Ponds and lakes/Together;Large Land Estates/Under buildings and roads/Together;Large Land Estates/Unproductive land/Together
NOWOGRÓDZKI;NOWOGRÓDZKIE;53.0;7470.0;3514.0;957.0;725.0;57.0;28.0;4.0;1421.0;19.0;128.0;617.0;32.0;7647.0;3762.0;1055.0;922.0;51.0;17.0;5.0;1282.0;38.0;116.0;399.0;14.0;4595.0;1939.0;745.0;206.0;25.0;11.0;7.0;1199.0;186.0;42.0;235.0;7.0;3159.0;1475.0;280.0;256.0;5.0;2.0;3.0;838.0;1.0;19.0;280.0;61.0;4158.0;1920.0;518.0;421.0;31.0;15.0;4.0;746.0;14.0;64.0;425.0;24.0;16454.0;7108.0;1733.0;1373.0;70.0;36.0;22.0;4317.0;82.0;241.0;1472.0;16.0;52693.0;10716.0;7470.0;1914.0;118.0;94.0;79.0;29345.0;496.0;180.0;2281.0;207.0;96176.0;30434.0;12758.0;5817.0;357.0;203.0;124.0;39148.0;836.0;790.0;5709.0
STOŁPECKI;NOWOGRÓDZKIE;31.0;4323.0;1646.0;409.0;492.0;17.0;16.0;1.0;906.0;14.0;106.0;716.0;15.0;3618.0;1432.0;317.0;346.0;26.0;9.0;9.0;826.0;9.0;71.0;573.0;11.0;3615.0;1304.0;329.0;279.0;8.0;16.0;27.0;1118.0;3.0;64.0;467.0;6.0;2581.0;993.0;237.0;136.0;13.0;15.0;0.0;1068.0;16.0;45.0;58.0;36.0;2618.0;1217.0;377.0;303.0;16.0;19.0;0.0;290.0;7.0;83.0;306.0;8.0;5620.0;1667.0;478.0;725.0;15.0;17.0;2.0;1998.0;13.0;43.0;662.0;11.0;32459.0;7565.0;2812.0;1553.0;58.0;51.0;27.0;17928.0;45.0;234.0;2186.0;118.0;54834.0;15824.0;4959.0;3834.0;153.0;143.0;66.0;24134.0;107.0;646.0;4968.0
SŁONIMSKI;NOWOGRÓDZKIE;40.0;5524.0;2293.0;655.0;694.0;24.0;26.0;1.0;1146.0;4.0;106.0;575.0;16.0;3734.0;1804.0;529.0;274.0;12.0;14.0;30.0;560.0;90.0;45.0;376.0;13.0;4378.0;1637.0;742.0;331.0;26.0;10.0;0.0;1462.0;15.0;43.0;112.0;17.0;7424.0;2787.0;1268.0;469.0;38.0;19.0;5.0;2227.0;72.0;74.0;465.0;33.0;2212.0;957.0;292.0;277.0;10.0;10.0;0.0;322.0;4.0;48.0;292.0;22.0;13904.0;4656.0;1318.0;1737.0;37.0;32.0;30.0;4498.0;105.0;147.0;1344.0;24.0;84133.0;17204.0;10031.0;2892.0;114.0;64.0;103.0;48234.0;220.0;557.0;4714.0;165.0;121309.0;31338.0;14835.0;6674.0;261.0;175.0;169.0;58449.0;510.0;1020.0;7878.0
WOŁOŻYŃSKI;NOWOGRÓDZKIE;28.0;3560.0;1150.0;591.0;247.0;19.0;17.0;1.0;770.0;5.0;82.0;678.0;24.0;5531.0;1877.0;770.0;865.0;28.0;17.0;6.0;929.0;65.0;71.0;903.0;9.0;3038.0;1065.0;446.0;608.0;24.0;11.0;1.0;545.0;18.0;45.0;275.0;5.0;2255.0;499.0;508.0;327.0;7.0;4.0;1.0;618.0;7.0;16.0;268.0;41.0;2861.0;1078.0;389.0;360.0;15.0;12.0;2.0;412.0;8.0;65.0;520.0;10.0;7207.0;2095.0;585.0;456.0;14.0;22.0;0.0;3437.0;22.0;52.0;524.0;13.0;94565.0;12073.0;12860.0;2644.0;63.0;76.0;20.0;63281.0;294.0;338.0;2916.0;130.0;119017.0;19837.0;16149.0;5507.0;170.0;159.0;31.0;69992.0;419.0;669.0;6084.0
BRZESKI (BRZEŚĆ N.BUG.);POLESKIE;23.0;3168.0;1616.0;572.0;104.0;38.0;17.0;11.0;501.0;23.0;59.0;227.0;19.0;4609.0;2104.0;783.0;196.0;31.0;29.0;5.0;953.0;20.0;63.0;425.0;14.0;4631.0;1997.0;494.0;542.0;32.0;11.0;16.0;1067.0;109.0;75.0;288.0;9.0;3818.0;2554.0;530.0;120.0;31.0;9.0;10.0;455.0;5.0;33.0;71.0;17.0;1252.0;644.0;210.0;96.0;12.0;9.0;2.0;101.0;1.0;23.0;154.0;15.0;10529.0;4252.0;2135.0;687.0;58.0;30.0;20.0;2666.0;24.0;67.0;590.0;17.0;49070.0;8068.0;8002.0;2050.0;39.0;31.0;546.0;24256.0;2162.0;400.0;3516.0;114.0;77077.0;21235.0;12726.0;3795.0;241.0;136.0;610.0;29999.0;2344.0;720.0;5271.0
DROHICKI;POLESKIE;17.0;2386.0;659.0;448.0;518.0;23.0;12.0;12.0;407.0;1.0;37.0;269.0;7.0;1685.0;600.0;364.0;306.0;20.0;5.0;2.0;298.0;0.0;17.0;73.0;2.0;676.0;191.0;139.0;65.0;2.0;1.0;1.0;209.0;0.0;3.0;65.0;4.0;1753.0;565.0;423.0;207.0;7.0;5.0;3.0;429.0;0.0;21.0;93.0;20.0;1394.0;304.0;335.0;196.0;8.0;12.0;4.0;322.0;2.0;27.0;184.0;9.0;5863.0;1857.0;1201.0;478.0;29.0;20.0;18.0;1627.0;1.0;65.0;567.0;13.0;51708.0;6633.0;10921.0;6099.0;59.0;81.0;85.0;15375.0;1916.0;221.0;10318.0;72.0;65465.0;10809.0;13831.0;7869.0;148.0;136.0;125.0;18667.0;1920.0;391.0;11569.0
KOBRYŃSKI;POLESKIE;39.0;5268.0;2167.0;1317.0;750.0;43.0;25.0;9.0;515.0;16.0;75.0;351.0;22.0;5189.0;2218.0;1234.0;559.0;36.0;16.0;14.0;577.0;3.0;47.0;485.0;17.0;5598.0;2087.0;1525.0;752.0;35.0;14.0;3.0;684.0;17.0;57.0;424.0;10.0;4285.0;1331.0;1092.0;929.0;21.0;9.0;5.0;568.0;3.0;32.0;295.0;60.0;4092.0;1527.0;958.0;710.0;37.0;26.0;23.0;362.0;2.0;71.0;376.0;17.0;11263.0;4021.0;2728.0;720.0;48.0;15.0;6.0;2305.0;10.0;118.0;1292.0;15.0;32008.0;5004.0;12879.0;2528.0;91.0;35.0;29.0;8880.0;85.0;190.0;2287.0;180.0;67703.0;18355.0;21733.0;6948.0;311.0;140.0;89.0;13891.0;136.0;590.0;5510.0
KOSOWSKI (KOSÓW POLESKI);POLESKIE;8.0;1118.0;386.0;152.0;233.0;2.0;1.0;0.0;198.0;2.0;12.0;132.0;4.0;971.0;367.0;119.0;48.0;2.0;1.0;4.0;413.0;9.0;7.0;1.0;1.0;361.0;94.0;70.0;15.0;0.0;1.0;0.0;174.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;409.0;137.0;74.0;55.0;1.0;1.0;0.0;51.0;1.0;8.0;81.0;4.0;2748.0;402.0;843.0;0.0;1.0;3.0;0.0;1092.0;8.0;38.0;361.0;12.0;118744.0;3929.0;20279.0;1908.0;15.0;45.0;8.0;59116.0;4809.0;131.0;28504.0;35.0;124351.0;5315.0;21537.0;2259.0;21.0;52.0;12.0;61044.0;4829.0;203.0;29079.0
KOSZYRSKI;POLESKIE;6.0;836.0;120.0;228.0;52.0;1.0;3.0;0.0;345.0;8.0;6.0;73.0;4.0;974.0;207.0;163.0;77.0;1.0;2.0;0.0;376.0;0.0;3.0;145.0;3.0;1090.0;485.0;283.0;0.0;2.0;6.0;0.0;120.0;0.0;1.0;193.0;4.0;1731.0;388.0;264.0;28.0;13.0;7.0;3.0;988.0;0.0;12.0;28.0;11.0;765.0;335.0;167.0;56.0;2.0;9.0;0.0;107.0;12.0;7.0;70.0;11.0;8159.0;1204.0;1653.0;964.0;5.0;8.0;279.0;2440.0;814.0;17.0;775.0;26.0;63539.0;9687.0;7522.0;2178.0;41.0;31.0;20.0;34785.0;569.0;181.0;8525.0;65.0;77094.0;12426.0;10280.0;3355.0;65.0;66.0;302.0;39161.0;1403.0;227.0;9809.0
PIŃSKI;POLESKIE;12.0;1854.0;524.0;250.0;214.0;10.0;7.0;6.0;460.0;1.0;25.0;357.0;4.0;923.0;198.0;117.0;65.0;2.0;3.0;0.0;314.0;0.0;17.0;207.0;2.0;654.0;302.0;48.0;71.0;4.0;0.0;0.0;120.0;0.0;0.0;109.0;4.0;1809.0;403.0;467.0;232.0;5.0;3.0;1.0;500.0;0.0;3.0;195.0;5.0;341.0;73.0;62.0;24.0;1.0;2.0;0.0;49.0;5.0;7.0;118.0;24.0;15328.0;3214.0;2978.0;1439.0;39.0;13.0;16.0;6352.0;23.0;136.0;1118.0;57.0;225931.0;21917.0;31137.0;8760.0;2598.0;134.0;92.0;111849.0;1721.0;752.0;46971.0;108.0;246840.0;26631.0;35059.0;10805.0;2659.0;162.0;115.0;119644.0;1750.0;940.0;49075.0
PRUŻAŃSKI;POLESKIE;22.0;2976.0;1020.0;683.0;509.0;17.0;6.0;0.0;342.0;0.0;38.0;361.0;12.0;2936.0;1254.0;613.0;287.0;31.0;12.0;3.0;426.0;1.0;30.0;279.0;5.0;1744.0;949.0;459.0;141.0;11.0;4.0;1.0;112.0;0.0;36.0;31.0;5.0;2178.0;1212.0;506.0;118.0;23.0;15.0;16.0;251.0;1.0;27.0;9.0;30.0;2149.0;848.0;469.0;318.0;18.0;10.0;0.0;189.0;0.0;44.0;253.0;14.0;9232.0;3922.0;2038.0;794.0;37.0;13.0;9.0;1829.0;23.0;67.0;500.0;10.0;18259.0;5914.0;2844.0;903.0;39.0;24.0;25.0;7103.0;3.0;122.0;1282.0;98.0;39474.0;15119.0;7612.0;3070.0;176.0;84.0;54.0;10252.0;28.0;364.0;2715.0
SARNEŃSKI;POLESKIE;5.0;737.0;130.0;146.0;221.0;2.0;4.0;1.0;173.0;3.0;6.0;51.0;3.0;726.0;78.0;141.0;0.0;0.0;2.0;0.0;360.0;0.0;4.0;141.0;5.0;1685.0;180.0;160.0;24.0;1.0;4.0;0.0;872.0;0.0;15.0;429.0;4.0;1921.0;187.0;108.0;226.0;1.0;3.0;0.0;1217.0;0.0;12.0;167.0;8.0;586.0;83.0;62.0;97.0;1.0;5.0;0.0;294.0;0.0;6.0;38.0;7.0;5509.0;864.0;412.0;625.0;12.0;9.0;7.0;2363.0;14.0;71.0;1132.0;47.0;275430.0;14946.0;26716.0;12766.0;120.0;132.0;75.0;159845.0;1182.0;853.0;58795.0;79.0;286594.0;16468.0;27745.0;13959.0;137.0;159.0;83.0;165124.0;1199.0;967.0;60753.0
STOLIŃSKI;POLESKIE;6.0;873.0;169.0;171.0;169.0;1.0;4.0;0.0;187.0;2.0;11.0;159.0;1.0;246.0;57.0;125.0;0.0;1.0;1.0;0.0;52.0;0.0;1.0;9.0;2.0;743.0;112.0;104.0;33.0;2.0;24.0;2.0;283.0;1.0;24.0;158.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;461.0;81.0;143.0;92.0;1.0;0.0;0.0;0.0;26.0;1.0;117.0;3.0;1974.0;326.0;798.0;464.0;4.0;4.0;0.0;265.0;34.0;22.0;57.0;24.0;262383.0;11092.0;18712.0;6787.0;46.0;34.0;477.0;112431.0;242.0;225.0;112337.0;44.0;266680.0;11837.0;20053.0;7545.0;55.0;67.0;479.0;113218.0;305.0;284.0;112837.0
ŁUNINIECKI;POLESKIE;4.0;545.0;127.0;72.0;113.0;3.0;1.0;0.0;129.0;1.0;8.0;91.0;5.0;1175.0;226.0;147.0;23.0;9.0;1.0;0.0;550.0;1.0;8.0;210.0;4.0;1363.0;325.0;454.0;138.0;3.0;2.0;0.0;369.0;0.0;12.0;60.0;1.0;414.0;13.0;0.0;0.0;0.0;0.0;0.0;218.0;0.0;0.0;183.0;15.0;1044.0;93.0;138.0;149.0;0.0;1.0;0.0;84.0;11.0;16.0;552.0;3.0;2050.0;87.0;763.0;402.0;1.0;1.0;0.0;606.0;1.0;3.0;186.0;29.0;400150.0;7919.0;66321.0;10837.0;54.0;85.0;21.0;170537.0;531.0;1245.0;142600.0;61.0;406741.0;8790.0;67895.0;11662.0;70.0;91.0;21.0;172493.0;545.0;1292.0;143882.0
BRODNICKI;POMORSKIE;12.0;1461.0;1100.0;111.0;75.0;8.0;5.0;6.0;26.0;48.0;21.0;61.0;7.0;1673.0;1343.0;117.0;40.0;8.0;6.0;9.0;13.0;56.0;21.0;60.0;7.0;2504.0;2104.0;184.0;72.0;12.0;40.0;4.0;27.0;14.0;35.0;12.0;3.0;1289.0;1025.0;89.0;5.0;3.0;1.0;7.0;91.0;23.0;26.0;19.0;58.0;3937.0;2864.0;397.0;223.0;19.0;8.0;7.0;73.0;61.0;79.0;206.0;15.0;9338.0;7255.0;692.0;309.0;52.0;38.0;14.0;517.0;199.0;112.0;150.0;5.0;24580.0;16658.0;1662.0;1699.0;5.0;72.0;33.0;2638.0;548.0;263.0;1002.0;107.0;44782.0;32349.0;3252.0;2423.0;107.0;170.0;80.0;3385.0;949.0;557.0;1510.0
CHEŁMIŃSKI;POMORSKIE;17.0;2514.0;2002.0;166.0;100.0;13.0;5.0;6.0;95.0;36.0;33.0;58.0;7.0;1758.0;1385.0;67.0;76.0;9.0;10.0;5.0;1.0;58.0;34.0;113.0;6.0;2060.0;1846.0;84.0;4.0;8.0;9.0;2.0;39.0;25.0;33.0;10.0;2.0;947.0;896.0;6.0;5.0;2.0;2.0;2.0;0.0;24.0;10.0;0.0;58.0;3956.0;2974.0;413.0;171.0;31.0;10.0;5.0;45.0;37.0;96.0;174.0;15.0;10588.0;8788.0;547.0;159.0;44.0;56.0;42.0;610.0;106.0;165.0;71.0;5.0;9917.0;4997.0;636.0;123.0;9.0;28.0;13.0;3834.0;47.0;158.0;72.0;110.0;31740.0;22888.0;1919.0;638.0;116.0;120.0;75.0;4624.0;333.0;529.0;498.0
CHOJNICKI;POMORSKIE;53.0;6961.0;2731.0;240.0;837.0;20.0;7.0;2.0;1209.0;75.0;106.0;1734.0;10.0;2388.0;998.0;76.0;150.0;4.0;2.0;4.0;439.0;30.0;16.0;669.0;4.0;1363.0;784.0;80.0;190.0;7.0;1.0;1.0;160.0;15.0;12.0;113.0;5.0;2181.0;1175.0;108.0;79.0;5.0;5.0;3.0;283.0;441.0;23.0;59.0;181.0;12775.0;6807.0;694.0;1769.0;39.0;21.0;1.0;1313.0;174.0;207.0;1750.0;9.0;6894.0;4316.0;422.0;582.0;20.0;10.0;18.0;1341.0;54.0;65.0;66.0;2.0;2432.0;1011.0;257.0;52.0;1.0;17.0;1.0;840.0;233.0;20.0;0.0;264.0;34994.0;17822.0;1877.0;3659.0;96.0;63.0;30.0;5585.0;1022.0;449.0;4391.0
DZIAŁDOWSKI;POMORSKIE;27.0;3641.0;2489.0;410.0;294.0;13.0;16.0;1.0;137.0;20.0;65.0;196.0;7.0;1809.0;1492.0;171.0;40.0;3.0;1.0;3.0;57.0;13.0;19.0;10.0;2.0;692.0;488.0;145.0;45.0;1.0;2.0;0.0;4.0;1.0;6.0;0.0;4.0;1854.0;1471.0;162.0;73.0;2.0;3.0;0.0;51.0;75.0;9.0;8.0;79.0;5348.0;3642.0;682.0;501.0;20.0;11.0;1.0;124.0;19.0;106.0;242.0;5.0;3400.0;2622.0;346.0;100.0;4.0;3.0;22.0;96.0;131.0;32.0;44.0;6.0;9161.0;4427.0;1396.0;585.0;21.0;14.0;8.0;2179.0;361.0;96.0;74.0;130.0;25905.0;16631.0;3312.0;1638.0;64.0;50.0;35.0;2648.0;620.0;333.0;574.0
GNIEWSKI;POMORSKIE;31.0;4405.0;3556.0;361.0;215.0;32.0;25.0;9.0;11.0;46.0;112.0;38.0;4.0;895.0;696.0;75.0;43.0;4.0;2.0;3.0;31.0;5.0;21.0;15.0;4.0;1369.0;1121.0;50.0;51.0;19.0;6.0;2.0;16.0;10.0;21.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;3334.0;2704.0;269.0;126.0;20.0;12.0;2.0;12.0;30.0;98.0;61.0;9.0;6063.0;4222.0;546.0;159.0;7.0;41.0;25.0;852.0;55.0;100.0;56.0;2.0;3023.0;1233.0;143.0;93.0;8.0;9.0;9.0;1457.0;6.0;22.0;43.0;93.0;19089.0;13532.0;1444.0;687.0;90.0;95.0;50.0;2379.0;152.0;374.0;286.0
GRUDZIĄDZ (MIASTO);POMORSKIE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GRUDZIĄDZKI;POMORSKIE;26.0;3465.0;2662.0;250.0;71.0;16.0;12.0;10.0;97.0;62.0;42.0;243.0;8.0;1914.0;1442.0;136.0;17.0;7.0;11.0;6.0;24.0;219.0;33.0;19.0;9.0;3060.0;2525.0;138.0;113.0;10.0;5.0;7.0;174.0;18.0;35.0;35.0;6.0;2798.0;2276.0;191.0;58.0;5.0;2.0;20.0;19.0;136.0;41.0;50.0;83.0;5815.0;4727.0;362.0;156.0;40.0;20.0;4.0;78.0;145.0;120.0;163.0;8.0;5582.0;4500.0;312.0;33.0;23.0;28.0;19.0;349.0;200.0;97.0;21.0;3.0;4038.0;2676.0;178.0;78.0;13.0;12.0;22.0;677.0;274.0;51.0;57.0;143.0;26672.0;20808.0;1567.0;526.0;114.0;90.0;88.0;1418.0;1054.0;419.0;588.0
KARTUSKI;POMORSKIE;33.0;4245.0;2093.0;230.0;628.0;10.0;3.0;9.0;332.0;119.0;65.0;756.0;10.0;2464.0;1333.0;140.0;156.0;7.0;4.0;5.0;154.0;505.0;28.0;132.0;6.0;2096.0;1513.0;74.0;12.0;7.0;3.0;5.0;155.0;301.0;20.0;6.0;1.0;454.0;167.0;15.0;25.0;0.0;1.0;1.0;7.0;225.0;9.0;4.0;88.0;6405.0;3177.0;210.0;1162.0;15.0;5.0;1.0;330.0;425.0;91.0;989.0;7.0;4271.0;3072.0;235.0;217.0;4.0;13.0;6.0;538.0;83.0;51.0;52.0;5.0;7061.0;3030.0;262.0;174.0;35.0;3.0;6.0;2090.0;1051.0;73.0;337.0;150.0;26996.0;14385.0;1166.0;2374.0;78.0;32.0;33.0;3606.0;2709.0;337.0;2276.0
KOŚCIERSKI;POMORSKIE;36.0;4824.0;2465.0;303.0;615.0;14.0;4.0;2.0;634.0;243.0;55.0;489.0;9.0;2178.0;1395.0;197.0;114.0;3.0;1.0;1.0;203.0;130.0;13.0;121.0;9.0;3061.0;1825.0;308.0;161.0;4.0;2.0;3.0;313.0;325.0;12.0;108.0;2.0;890.0;576.0;95.0;40.0;5.0;3.0;4.0;36.0;109.0;8.0;14.0;153.0;10719.0;5598.0;597.0;1323.0;43.0;16.0;4.0;907.0;379.0;213.0;1639.0;9.0;6654.0;4432.0;424.0;246.0;4.0;13.0;14.0;859.0;436.0;68.0;158.0;2.0;3069.0;1476.0;325.0;75.0;15.0;12.0;5.0;848.0;221.0;15.0;77.0;220.0;31395.0;17767.0;2249.0;2574.0;88.0;51.0;33.0;3800.0;1843.0;384.0;2606.0
LUBAWSKI;POMORSKIE;28.0;3940.0;3241.0;284.0;183.0;15.0;5.0;6.0;38.0;33.0;45.0;90.0;5.0;1248.0;980.0;115.0;44.0;4.0;3.0;3.0;27.0;38.0;9.0;25.0;7.0;2374.0;1721.0;355.0;125.0;5.0;18.0;9.0;44.0;9.0;34.0;54.0;3.0;1345.0;1060.0;98.0;3.0;3.0;6.0;1.0;86.0;56.0;16.0;16.0;106.0;7117.0;5451.0;628.0;340.0;41.0;21.0;3.0;62.0;76.0;132.0;363.0;11.0;7509.0;5097.0;685.0;158.0;44.0;32.0;15.0;932.0;298.0;114.0;134.0;1.0;1400.0;944.0;148.0;6.0;1.0;1.0;4.0;157.0;100.0;16.0;23.0;161.0;24933.0;18494.0;2313.0;859.0;113.0;86.0;41.0;1346.0;610.0;366.0;705.0
PUCKI;POMORSKIE;9.0;1096.0;554.0;112.0;237.0;4.0;1.0;0.0;78.0;8.0;16.0;86.0;3.0;712.0;445.0;81.0;94.0;1.0;0.0;21.0;52.0;0.0;8.0;10.0;2.0;782.0;408.0;238.0;85.0;0.0;1.0;1.0;31.0;0.0;10.0;8.0;1.0;403.0;222.0;84.0;69.0;2.0;0.0;0.0;16.0;1.0;2.0;7.0;54.0;3766.0;1915.0;439.0;661.0;10.0;6.0;1.0;59.0;1.0;56.0;618.0;5.0;4121.0;2115.0;546.0;332.0;4.0;5.0;4.0;680.0;39.0;54.0;342.0;3.0;6402.0;3271.0;535.0;488.0;20.0;4.0;15.0;1924.0;38.0;61.0;46.0;77.0;17282.0;8930.0;2035.0;1966.0;41.0;17.0;42.0;2840.0;87.0;207.0;1117.0
STAROGARDZKI;POMORSKIE;28.0;3971.0;3129.0;275.0;139.0;16.0;16.0;4.0;72.0;77.0;57.0;186.0;4.0;926.0;679.0;54.0;96.0;1.0;3.0;1.0;8.0;2.0;11.0;71.0;1.0;325.0;289.0;32.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;2.0;807.0;637.0;58.0;53.0;4.0;21.0;2.0;0.0;10.0;15.0;7.0;75.0;5218.0;3609.0;344.0;280.0;19.0;12.0;5.0;176.0;87.0;107.0;579.0;10.0;7522.0;5272.0;621.0;130.0;10.0;21.0;25.0;1019.0;220.0;98.0;106.0;2.0;3950.0;2010.0;132.0;71.0;3.0;75.0;12.0;1345.0;98.0;70.0;134.0;122.0;22719.0;15625.0;1516.0;769.0;53.0;149.0;49.0;2620.0;494.0;359.0;1085.0
SĘPOLEŃSKI;POMORSKIE;24.0;3086.0;2190.0;232.0;116.0;11.0;4.0;3.0;144.0;148.0;36.0;202.0;2.0;551.0;456.0;56.0;17.0;1.0;2.0;2.0;7.0;4.0;6.0;0.0;5.0;1820.0;1400.0;168.0;49.0;6.0;11.0;3.0;125.0;8.0;28.0;22.0;1.0;426.0;268.0;27.0;0.0;3.0;0.0;7.0;65.0;1.0;16.0;39.0;131.0;8784.0;6850.0;721.0;436.0;35.0;15.0;2.0;207.0;31.0;102.0;385.0;3.0;1636.0;1163.0;156.0;76.0;4.0;6.0;3.0;153.0;27.0;12.0;36.0;4.0;7719.0;3857.0;668.0;102.0;10.0;23.0;4.0;2577.0;207.0;59.0;212.0;170.0;24022.0;16184.0;2028.0;796.0;70.0;61.0;24.0;3278.0;426.0;259.0;896.0
