Region;District;Konie (sztuki);Bydło rogate (sztuki);Trzoda chlewna (sztuki);Owce (sztuki);Kozy (sztuki)
POZNAŃSKIE;SZUBIŃSKI;9755.0;27832.0;29601.0;6055.0;1494.0
POZNAŃSKIE;WOLSZTYŃSKI;7170.0;24143.0;25993.0;2070.0;4343.0
POZNAŃSKIE;WRZESIŃSKI;8377.0;24699.0;24099.0;1928.0;1409.0
POZNAŃSKIE;WYRZYSKI;12980.0;35162.0;38710.0;19714.0;2530.0
POZNAŃSKIE;WĄGROWIECKI;12463.0;32462.0;41676.0;6589.0;2322.0
POZNAŃSKIE;ŚMIGIELSKI;6655.0;22184.0;19605.0;2708.0;2491.0
POZNAŃSKIE;ŚREDZKI;10570.0;27748.0;29586.0;4724.0;2127.0
POZNAŃSKIE;ŚREMSKI;10130.0;28257.0;24570.0;3874.0;2714.0
POZNAŃSKIE;ŻNIŃSKI;9264.0;24909.0;31307.0;4523.0;1819.0
STANISŁAWOWSKIE;BOHORODCZAŃSKI;6081.0;17704.0;7511.0;2089.0;194.0
STANISŁAWOWSKIE;DOLIŃSKI;9856.0;41440.0;9196.0;15862.0;552.0
STANISŁAWOWSKIE;HORODEŃSKI;18344.0;22145.0;18449.0;19830.0;571.0
STANISŁAWOWSKIE;KAŁUSKI;10429.0;32334.0;11561.0;4841.0;321.0
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);6600.0;33447.0;16332.0;61629.0;963.0
STANISŁAWOWSKIE;KOŁOMYJSKI;17602.0;41634.0;26154.0;14919.0;1204.0
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;7732.0;24211.0;9930.0;12588.0;1142.0
STANISŁAWOWSKIE;ROHATYŃSKI;20288.0;39908.0;23048.0;872.0;641.0
STANISŁAWOWSKIE;SKOLSKI;5895.0;22516.0;4537.0;7479.0;272.0
STANISŁAWOWSKIE;STANISŁAWOWSKI;12198.0;30891.0;12648.0;670.0;612.0
STANISŁAWOWSKIE;STRYJSKI;7180.0;22325.0;7449.0;274.0;41.0
STANISŁAWOWSKIE;TURCZAŃSKI;11311.0;41777.0;7283.0;8418.0;398.0
STANISŁAWOWSKIE;TŁUMACKI;14880.0;30706.0;16582.0;2915.0;378.0
STANISŁAWOWSKIE;ŚNIATYŃSKI;9430.0;18011.0;13321.0;7914.0;990.0
STANISŁAWOWSKIE;ŻYDACZOWSKI;11665.0;30720.0;10834.0;180.0;112.0
