Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR
Lwowska;TURCZAŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;5.0;1.0;13.0;3.0;4.0;6.0;22.0;1.0;262.0;5.0
Łódzka;TURECKI;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;5.0;1.0;34.0;3.0;111.0;0.0;788.0;49.0
Lwowska;TŁUMACKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;0.0;17.0;0.0;18.0;0.0;543.0;13.0
Krakowska;WADOWICKI;1.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;9.0;0.0;15.0;0.0;26.0;0.0;821.0;17.0
Warrszawa Okręgowa;WARSZAWSKI;2.0;0.0;0.0;0.0;9.0;0.0;22.0;0.0;36.0;5.0;36.0;3.0;37.0;7.0;1292.0;77.0
Pomorska;WEJHEROWSKI;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;12.0;0.0;19.0;2.0;44.0;5.0;346.0;48.0
Krakowska;WIELICKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;7.0;0.0;6.0;0.0;27.0;0.0;363.0;26.0
Łódzka;WIELUŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;34.0;1.0;56.0;2.0;1170.0;77.0
Wileńska;WILEJSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;30.0;2.0;50.0;5.0;469.0;46.0
Wileńska;WILEŃSKO-TROCKI;0.0;0.0;0.0;0.0;1.0;0.0;12.0;0.0;11.0;4.0;34.0;3.0;67.0;8.0;631.0;59.0
Wileńska;WILNO (MIASTO);0.0;0.0;0.0;0.0;2.0;0.0;28.0;0.0;52.0;0.0;65.0;6.0;233.0;17.0;3251.0;195.0
