Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Ogółem R;Ogółem PR;Handel jarmarczny - hurt R;Handel jarmarczny - hurt PR;Handel jarmarczny - detal R;Handel jarmarczny - detal PR;Karty rejestracyjne R;Karty rejestracyjne PR
Pomorska;GNIEWSKI;0;0;4;1;8;0;0;0;12;1;0;0;0;0;16;0
;GNIEZNO (MIASTO);;;;;;;;;;;;;;;;
Wielkopolska;GNIEŹNIEŃSKI;0;0;3;0;2;0;16;0;21;0;0;0;0;0;46;0
Krakowska;GORLICKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0
Warszawa Okręgowa;GOSTYNIŃSKI;0;0;2;0;2;0;0;0;4;0;0;0;0;0;32;14
Wielkopolska;GOSTYŃSKI;0;0;2;0;3;0;1;0;6;0;0;0;0;0;0;0
Białostocka;GRODZIEŃSKI;0;0;10;3;6;2;11;0;27;5;0;0;0;0;249;56
Wielkopolska;GRODZISKI;0;0;4;4;1;0;1;0;6;4;0;0;0;0;0;0
Pomorska;GRUDZIĄDZ (MIASTO);0;0;17;1;8;1;37;7;62;9;0;0;0;0;77;3
Pomorska;GRUDZIĄDZKI;0;0;2;0;0;0;0;0;2;0;0;0;0;0;20;0
Krakowska;GRYBOWSKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0
Lwowska;GRÓDECKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0
Warszawa Okręgowa;GRÓJECKI;0;0;2;1;0;0;0;0;2;1;0;0;0;0;14;0
Wołyńska;HOROCHOWSKI;0;0;4;1;0;0;0;0;4;1;0;0;0;0;30;22
Lwowska;HORODEŃSKI;0;0;0;0;1;0;0;0;1;0;0;0;0;0;22;0
Lubelska;HRUBIESZOWSKI;0;0;8;6;2;0;0;0;10;6;0;0;0;0;26;0
;INOWROCŁAW (MIASTO);;;;;;;;;;;;;;;;
Wielkopolska;INOWROCŁAWSKI;0;0;0;0;6;0;8;0;14;0;0;0;0;0;36;1
Kielecka;IŁŻECKI;0;0;3;1;0;0;0;0;3;1;0;0;0;0;7;0
Lubelska;JANOWSKI;0;0;6;0;0;0;0;0;6;0;0;0;0;0;33;4
Wielkopolska;JAROCIŃSKI;0;0;1;1;0;0;3;1;4;2;0;0;0;0;0;0
Lwowska;JAROSŁAWSKI;0;0;0;0;0;0;2;0;2;0;0;0;0;0;22;1
Krakowska;JASIELSKI;0;0;4;0;3;0;1;0;8;0;0;0;0;0;20;1
Lwowska;JAWOROWSKI;0;0;1;0;1;1;0;0;2;1;0;0;0;0;21;0
Kielecka;JĘDRZEJOWSKI;0;0;3;0;1;0;0;0;4;0;0;0;0;0;38;1
Łódzka;KALISKI;0;0;12;0;6;1;30;2;48;3;0;0;0;0;84;2
Lwowska;KAMIONECKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
Pomorska;KARTUSKI;0;0;0;0;2;0;1;0;3;0;0;0;0;0;40;1
Śląska;KATOWICE (MIASTO);3;0;72;7;11;0;141;32;227;39;0;0;0;0;771;41
;KATOWICKI;;;;;;;;;;;;;;;;
Lwowska;KAŁUSKI;0;0;6;2;5;0;0;0;11;2;1;0;0;0;13;0
Kielecka;KIELECKI;0;0;5;2;5;0;3;0;13;2;0;0;0;0;57;4
Poleska;KOBRYŃSKI;0;0;6;1;0;0;0;0;6;1;0;0;0;0;56;1
Lwowska;KOLBUSZOWSKI;0;0;1;0;0;0;0;0;1;0;0;0;0;0;16;0
Białostocka;KOLNEŃSKI;0;0;1;0;0;0;0;0;1;0;0;0;0;0;59;3
Łódzka;KOLSKI;0;0;10;2;3;0;2;0;15;2;0;0;0;0;180;5
Kielecka;KONECKI;0;0;6;0;0;0;3;1;9;1;0;0;0;0;89;3
