Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
POZNAŃSKIE;RAWICKI;89830.0;214663;55790;92507.0;602082.0;704677.0
POZNAŃSKIE;STRZELNEŃSKI;108827.0;199554;139037;31131.0;613369.0;1385456.0
POZNAŃSKIE;SZAMOTULSKI;120198.0;369062;87675;105672.0;1519595.0;862422.0
POZNAŃSKIE;SZUBIŃSKI;52106.0;312235;87964;77091.0;1089242.0;520962.0
POZNAŃSKIE;WOLSZTYŃSKI;24463.0;223715;24458;48291.0;910198.0;144908.0
POZNAŃSKIE;WRZESIŃSKI;99491.0;293477;93461;82916.0;991487.0;1077643.0
POZNAŃSKIE;WYRZYSKI;95367.0;403722;134024;101774.0;1630760.0;681075.0
POZNAŃSKIE;WĄGROWIECKI;63190.0;435694;119898;18188.0;1677848.0;400420.0
POZNAŃSKIE;ŚMIGIELSKI;56900.0;270406;41744;62397.0;762050.0;292770.0
POZNAŃSKIE;ŚREDZKI;80625.0;365785;105504;101668.0;1277440.0;827652.0
POZNAŃSKIE;ŚREMSKI;67251.0;361890;63694;98811.0;1315288.0;466780.0
POZNAŃSKIE;ŻNIŃSKI;84607.0;282981;122759;88086.0;928733.0;633450.0
STANISŁAWOWSKIE;BOHORODCZAŃSKI;9447.0;47200;8427;65181.0;452017.0;0.0
STANISŁAWOWSKIE;DOLIŃSKI;5803.0;52495;5998;74186.0;613200.0;0.0
STANISŁAWOWSKIE;HORODEŃSKI;119325.0;137317;120511;54923.0;1059655.0;544838.0
STANISŁAWOWSKIE;KAŁUSKI;47096.0;88965;4756;82212.0;841247.0;2315.0
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);5926.0;12252;3034;8397.0;180987.0;0.0
STANISŁAWOWSKIE;KOŁOMYJSKI;63343.0;80684;34204;85613.0;722762.0;272070.0
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;9331.0;65609;7846;42706.0;789479.0;0.0
STANISŁAWOWSKIE;PECZENIŻYŃSKI;6724.0;25383;704;20475.0;378654.0;0.0
STANISŁAWOWSKIE;ROHATYŃSKI;67465.0;52573;34571;61164.0;515382.0;138709.0
STANISŁAWOWSKIE;SKOLSKI;1801.0;16274;2011;42318.0;373443.0;0.0
STANISŁAWOWSKIE;STANISŁAWOWSKI;54196.0;117761;6944;69655.0;912724.0;29240.0
STANISŁAWOWSKIE;STRYJSKI;19530.0;56773;13004;53937.0;540535.0;6188.0
STANISŁAWOWSKIE;TURCZAŃSKI;1233.0;14214;3144;91396.0;338717.0;0.0
STANISŁAWOWSKIE;TŁUMACKI;60500.0;123170;20546;57121.0;771584.0;34510.0
STANISŁAWOWSKIE;ŚNIATYŃSKI;54130.0;71593;31 88;32317.0;631730.0;125255.0
STANISŁAWOWSKIE;ŻYDACZOWSKI;28170.0;50237;11300;45712.0;499299.0;21008.0
TARNOPOLSKIE;BORSZCZOWSKI;147487.0;169375;88988;21464.0;847500.0;183509.0
TARNOPOLSKIE;BRODZKI;45306.0;124914;71130;94529.0;922234.0;135153.0
TARNOPOLSKIE;BRZEŻAŃSKI;88383.0;105317;100201;89577.0;980748.0;111822.0
TARNOPOLSKIE;BUCZACKI;128939.0;205331;104592;61428.0;1310707.0;91263.0
