Region;District;Konie;Bydło rogate;Trzoda chlewna;Owce;Kozy
ŁÓDZKIE;ŁĘCZYCKI;18633.0;43128.0;30188.0;1523.0;464.0
ŚLĄSKIE;BIELSKI (BIELSKO);2434.0;14809.0;8478.0;204.0;947.0
ŚLĄSKIE;BIELSKO (MIASTO);178.0;69.0;15.0;0.0;6.0
ŚLĄSKIE;CIESZYŃSKI;3466.0;22042.0;14947.0;3076.0;1841.0
ŚLĄSKIE;KATOWICE (MIASTO);1007.0;272.0;917.0;38.0;2097.0
ŚLĄSKIE;KATOWICKI;2270.0;1967.0;3972.0;24.0;8428.0
ŚLĄSKIE;KRÓLEWSKA HUTA;757.0;87.0;634.0;0.0;1012.0
ŚLĄSKIE;LUBLINIECKI;3798.0;13831.0;7842.0;114.0;1326.0
ŚLĄSKIE;PSZCZYŃSKI;7911.0;34757.0;17961.0;123.0;8089.0
ŚLĄSKIE;RYBNICKI;7741.0;30116.0;22205.0;98.0;14828.0
ŚLĄSKIE;TARNOGÓRSKI;1181.0;3506.0;2871.0;24.0;3415.0
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;1698.0;929.0;3335.0;39.0;6334.0
