Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIR.1;Kategoria VIIPR.1
Wielkopolska;ŚMIGIELSKI;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;8.0;0.0;29.0;0.0;85.0;0.0;336.0;10.0
Lwowska;ŚNIATYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;1.0;41.0;2.0;565.0;38.0
Wielkopolska;ŚREDZKI;1.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;9.0;0.0;23.0;0.0;81.0;3.0;364.0;27.0
Wielkopolska;ŚREMSKI;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;33.0;0.0;15.0;1.0;80.0;9.0;488.0;48.0
Pomorska;ŚWIECKI;1.0;0.0;1.0;0.0;2.0;0.0;9.0;0.0;25.0;0.0;69.0;5.0;56.0;6.0;730.0;83.0
Wileńska;ŚWIĘCIAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;2.0;4.0;0.0;72.0;5.0;634.0;289.0
Śląska;ŚWIĘTOCHŁOWICKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wielkopolska;ŻNIŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;10.0;0.0;18.0;0.0;49.0;6.0;260.0;23.0
Lwowska;ŻYDACZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;27.0;0.0;38.0;0.0;598.0;18.0
Krakowska;ŻYWIECKI;1.0;0.0;3.0;0.0;2.0;0.0;20.0;0.0;15.0;0.0;38.0;0.0;46.0;1.0;585.0;0.0
Lwowska;ŻÓŁKIEWSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;14.0;0.0;28.0;0.0;39.0;2.0;729.0;14.0
