Region;District;Population_1921;Population_1931;Population_1938;Cities in district
TARNOPOLSKIE;TARNOPOLSKI;35220.0;38967.0;43158.0;['Mikulińce', 'Tarnopol']
TARNOPOLSKIE;TREMBOWELSKI;11563.0;12638.0;12938.0;['Budzanów', 'Trembowla']
TARNOPOLSKIE;ZALESZCZYCKI;4014.0;4114.0;5965.0;['Zaleszczyki']
TARNOPOLSKIE;ZBARASKI;7728.0;7673.0;8976.0;['Zbaraż']
TARNOPOLSKIE;ZBOROWSKI;12025.0;15377.0;16854.0;['Pomorzany (dziś Ukraina)', 'Załoźce', 'Zborów']
TARNOPOLSKIE;ZŁOCZOWSKI;17927.0;20201.0;21036.0;['Olesko', 'Sassów', 'Złoczów']
WARSZAWSKIE;BŁOŃSKI;42941.0;53924.0;60757.0;['Błonie', 'Grodzisk Mazowiecki', 'Mszczonów', 'Żyrardów']
WARSZAWSKIE;CIECHANOWSKI;11977.0;13954.0;15200.0;['Ciechanów']
WARSZAWSKIE;GOSTYNIŃSKI;12778.0;13473.0;15929.0;['Gąbin', 'Gostynin']
WARSZAWSKIE;GRÓJECKI;24623.0;27801.0;31055.0;['Góra Kalwaria', 'Grójec', 'Mogielnica', 'Warka']
WARSZAWSKIE;KUTNOWSKI;28881.0;35242.0;37418.0;['Krośniewice', 'Kutno', 'Żychlin']
WARSZAWSKIE;LIPNOWSKI;11323.0;13253.0;15225.0;['Dobrzyń nad Wisłą', 'Lipno']
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);9483.0;10913.0;11876.0;['Maków Mazowiecki', 'Różan']
WARSZAWSKIE;MIŃSKI;18712.0;21842.0;23660.0;['Kałuszyn', 'Mińsk Mazowiecki']
WARSZAWSKIE;MŁAWSKI;17003.0;19584.0;19900.0;['Mława']
WARSZAWSKIE;NIESZAWSKI;18096.0;20775.0;22847.0;['Aleksandrów Kujawski', 'Ciechocinek', 'Nieszawa', 'Radziejów']
WARSZAWSKIE;PRZASNYCKI;8927.0;10870.0;11856.0;['Chorzele', 'Przasnysz']
WARSZAWSKIE;PUŁTUSKI;32990.0;37673.0;42762.0;['Nasielsk', 'Pułtusk', 'Serock', 'Wyszków']
WARSZAWSKIE;PŁOCKI;32047.0;37330.0;39987.0;['Płock', 'Wyszogród']
WARSZAWSKIE;PŁOŃSKI;9352.0;10393.0;12000.0;['Płońsk']
