District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
ŁĘCZYCKI,21.69,19.31,20.0,18.25,17.38,22.0,24.67,4.45,3.33,10.94,7.38,4.38
ŁÓDZKI,22.5,18.8,23.0,19.5,19.4,22.0,0.0,5.6,0.0,11.5,9.5,5.0
ŁÓDŹ (MIASTO),22.5,18.8,23.0,19.5,19.4,0.0,0.0,5.6,0.0,11.5,9.5,5.0
PIOTRKOWSKI,22.26,20.58,21.0,19.45,19.5,0.0,0.0,4.34,3.15,9.36,6.81,4.19
RADOMSZCZAŃSKI,23.17,20.5,19.0,18.75,20.25,0.0,25.0,4.59,3.17,9.44,7.11,4.35
SIERADZKI,21.74,20.21,21.8,19.0,17.78,24.33,24.1,4.41,3.0,9.15,6.64,3.42
TURECKI,21.2,19.3,20.67,17.88,15.94,0.0,0.0,4.27,0.0,10.09,7.21,3.52
WIELUŃSKI,21.58,19.33,20.0,19.75,20.0,0.0,25.5,5.0,2.83,11.67,7.5,3.95
POŁUDNIOWO-WARSZAWSKI,22.18,19.33,20.0,20.0,20.5,0.0,0.0,6.88,0.0,10.44,8.78,5.83
PÓŁNOCNO-WARSZAWSKI,22.18,19.33,20.0,20.0,20.5,0.0,0.0,6.88,0.0,10.44,8.78,5.83
PRASKO-WARSZAWSKI,22.18,19.33,20.0,20.0,20.5,0.0,0.0,6.88,0.0,10.44,8.78,5.83
ŚRÓDMIEJSKO-WARSZAWSKI,22.18,19.33,20.0,20.0,20.5,0.0,0.0,6.88,0.0,10.44,8.78,5.83
BARANOWICKI,21.43,17.27,19.0,16.83,18.6,20.75,23.5,6.37,5.0,8.06,6.07,3.86
BRASŁAWSKI,20.59,16.11,17.5,16.92,15.53,15.0,14.13,5.11,0.0,6.09,4.32,2.48
LIDZKI,25.5,20.27,18.0,20.0,20.27,22.09,22.78,7.36,0.0,7.44,5.77,4.9
NIEŚWIESKI,21.47,17.65,18.67,16.09,17.71,19.14,27.0,5.82,4.4,7.0,5.93,4.41
NOWOGRÓDZKI,21.8305906383423,18.19997637182453,18.310677485203772,17.365834005355147,18.89067748520377,21.82051560556856,22.02676131217567,6.955986261142741,6.103559161734591,7.679459671135916,5.967528929601084,4.1111213433587634
SŁONIMSKI,23.81,17.63,20.33,18.88,20.06,22.92,21.45,6.94,5.27,9.29,6.83,4.41
STOŁPECKI,22.2394093616577,17.080023628175468,17.689322514796228,16.84416599464485,17.689322514796228,18.24948439443144,20.313238687824335,6.604013738857257,5.896440838265409,7.940540328864084,6.122471070398917,4.618878656641237
WOŁOŻYŃSKI,24.79,20.19,23.0,20.5,20.81,23.0,21.75,6.25,5.55,6.94,5.73,4.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),19.5,19.0,16.4,17.33,19.4,0.0,0.0,6.0,0.0,6.4,4.6,3.6
BRZESKI (BRZEŚĆ N.BUG.),21.374457937827795,17.49663887688477,17.204835269033456,15.975541741003498,17.972234269879255,20.0,21.31207636584985,5.7577254108353255,0.032914076438155665,8.398758292794893,6.058351565403237,3.6488386101970236
