District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VaR,Kategoria VaPR,Kategoria VbR,Kategoria VbPR
JAROCIŃSKI,1.8432834925147394,0.0,84.32089113322223,3.686566985029479,652.7537020523198,15.432834925147395,228.36566384878233,34.33581937275057,3.0,0.0,16.059700955088438,2.0
KĘPIŃSKI,0.0,0.0,76.81805993773753,9.0,602.6512303064607,53.909029968868765,249.9617350287054,39.29070189415379,4.0,0.7818059937737525,29.727089906606288,0.0
KOŚCIAŃSKI,1.92911914493042,0.0,63.84472691880009,0.986286594716299,589.0467602125298,32.08057458717695,311.5945377346692,52.15525496594284,6.536327337842197,0.0,88.59631440488869,2.89367871739563
KROTOSZYŃSKI,2.0,0.0,95.06429352707515,3.0,762.0311539178064,38.54848501018921,250.79578675972687,40.81844359375288,2.952150955052103,1.0,32.087130246833944,3.0
LESZCZYŃSKI,6.041199532226246,0.0,159.65508509424606,4.020599766113123,540.0107548046789,19.654134778003524,250.0484439421243,35.58129567000811,4.404310016471135,3.0,57.1552901360866,0.0617992983393693
MIĘDZYCHODZKI,0.0,0.0,20.0,0.0,307.0,31.0,87.0,5.0,0.0,0.0,14.0,0.0
MOGILEŃSKI,1.0001334864202402,0.0,130.2320488224362,1.0139501094788268,756.3506963744486,35.8161205732306,160.8664299644551,18.5478660802007,0.00724202757989407,1.0,43.34429927126195,1.870905559230833
NOWOTOMYSKI,1.9759552262219862,0.0,125.4710149768837,1.987977613110993,1071.3735229359447,66.72348510155284,207.72562698976526,44.69944032777482,13.891798517998938,0.9879776131109931,38.85573135733192,8.96393283933298
OBORNICKI,0.03518428017882833,0.0,61.35568499195636,0.03518428017882833,381.10270551118043,14.395322310248762,155.48256431933655,13.310986251793118,2.280601584535806,0.9643793913737613,18.956525479320373,0.8940108310161046
OSTROWSKI (OSTRÓW WIELKOPOLSKI),4.15671650748526,0.0,143.6129454979958,3.313433014970521,828.4311611345845,29.665721381806158,418.523119277158,48.22324899737732,8.751896568955578,2.2181940062262475,31.386197701490538,4.0
POZNAŃ (MIASTO),125.0,8.0,1169.0,46.0,2097.0,171.0,1353.0,256.0,9.0,4.0,163.0,48.0
RAWICKI,4.0,0.0,101.63194121865865,4.018055463390247,478.04163072219643,26.288887414243955,195.02636833602512,60.487497511536674,1.0,0.0,6.018055463390247,0.09027731695123598
SZAMOTULSKI,1.0,0.0,94.0,3.0,558.0,31.0,132.0,15.0,2.0,1.0,19.0,2.0
SZUBIŃSKI,0.0,0.0,65.0,2.0,418.0,24.0,44.0,7.0,4.0,5.0,8.0,3.0
