District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,RazemR,RazemPR,Handel jarmarczny - hurtR,Handel jarmarczny - hurtPR,Handel jarmarczny - detalR,Handel jarmarczny - detalPR,Karty rejestracyjneR,Karty rejestracyjnePR
ŁUCKI,0.0,0.0,5.0,1.0,9.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,73.0,7.0
RÓWIEŃSKI,0.0,0.0,8.0,2.0,12.0,5.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,126.0,21.0
WŁODZIMIERSKI,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
KOSTOPOLSKI,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0
ZDOŁBUNOWSKI,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,37.0,26.0
SARNEŃSKI,0.0,0.0,1.0,0.0,23.0,3.0,0.0,0.0,24.0,3.0,0.0,0.0,3.0,2.0,83.0,0.0
OSZMIAŃSKI,0.0,0.0,4.556560709078823,0.9113121418157647,0.0,0.0,0.0,0.0,4.556560709078823,0.9113121418157647,0.0,0.0,0.0,0.0,36.45248567263059,8.201809276341882
ŚWIĘCIAŃSKI,0.0,0.0,25.169626890205794,1.4766959634579202,0.0,0.0,0.0,0.0,25.169626890205794,1.4766959634579202,0.0,0.0,0.0,0.0,74.77053268888841,2.9533919269158404
WILNO (MIASTO),0.0,0.0,47.0,9.0,26.0,0.0,5.0,0.0,78.0,9.0,0.0,0.0,0.0,0.0,378.0,33.0
DZIŚNIEŃSKI,0.0,0.0,21.5191043950424,3.529889435551361,0.4677138887799811,0.23385694438999055,0.0,0.0,21.98681828382238,3.7637463799413515,0.0,0.0,0.0,0.0,95.25559913058325,11.17798321257931
WILEJSKI,0.0,0.0,12.589837712034566,1.715319262524861,0.1163953524990724,0.0581976762495362,0.0,0.0,12.706233064533638,1.7735169387743972,0.0,0.0,0.0,0.0,64.72842505425179,9.584611306417925
WILEŃSKO-TROCKI,0.45875037333969904,0.1835001493358796,0.9514085994016609,0.003440822164562117,0.0,0.0,0.0,0.0,1.41015897274136,0.18694097150044173,0.0,0.0,0.0,0.0,8.353500757727485,0.030967399481059053
POSTAWSKI,0.0,0.0,9.355591191039078,0.17553428098793056,1.4158907587209464,0.7079453793604732,0.0,0.0,10.771481949760025,0.8834796603484038,0.0,0.0,0.0,0.0,33.64256946750705,0.3510685619758611
MOŁODECZAŃSKI,0.15056302012160458,0.0,4.026747340305728,0.7176975290489618,0.15056302012160458,0.15056302012160458,0.0,0.0,4.327873380548937,0.8682605491705664,0.0,0.0,0.0,0.0,32.56605540395731,5.329840589232249
