District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Evangelical,% Evangelical,Orthodox,% Orthodox,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
LUBARTOWSKI,83732.0,0.87000613,14.0,0.000145465,1215.0,0.012624295,1197.0,0.012437268,9669.0,0.100464449,416.0,0.004322392,0.0,0.0
LUBELSKI,127889.72725187546,0.9141510167576814,46.84860978183009,0.0003348718691626585,665.8483262609043,0.004759458916639656,907.0688276907529,0.00648369408984983,9577.051974123906,0.06845641166095913,359.8371942817163,0.0025721033065995978,2.9903367945848998,2.137482772979971e-05
ŁUKOWSKI,107604.0,0.872891874,22.0,0.000178466,411.0,0.003334063,932.0,0.007560455,14185.0,0.115069804,114.0,0.000924777,5.0,4.05604e-05
PUŁAWSKI,129281.0,0.867535448,8.0,5.36837e-05,67.0,0.000449601,206.0,0.001382356,19296.0,0.129485106,153.0,0.001026701,10.0,6.71046e-05
RADZYŃSKI,70670.43143098919,0.7996111318722045,18.918200478877292,0.00021405246855516223,753.7409348689531,0.008528313823235502,1853.9836469299746,0.020977174776333044,14701.433161611749,0.16634155752907478,0.0,0.0,1.9913895240923465,2.2531875478771467e-05
SIEDLECKI,100771.15270706164,1.150309890574274,80.20435156941217,0.001107697082540916,537.5326089975332,0.005482874452466482,2669.4827298103355,0.03659584490303187,22103.062175113817,0.2415985192144597,1775.0,0.018027076,13.453260899753325,0.0001389963452466482
SOKOŁOWSKI,67224.0,0.883607829,11.0,0.000144587,130.0,0.00170875,420.0,0.005520577,8294.0,0.109018257,0.0,0.0,0.0,0.0
TOMASZOWSKI,57280.956447550794,0.6171918292730857,382.0776095794744,0.004116815964694796,10.888222034648235,0.00011731861274660116,22161.491193976304,0.23878601422698267,12030.495509919514,0.1296263887086934,0.0,0.0,0.0,0.0
WĘGROWSKI,68985.0,0.833434012,4.0,4.83255e-05,1285.0,0.015524574,185.0,0.002235055,9325.0,0.11265887,2988.0,0.036099164,0.0,0.0
WŁODAWSKI,40881.0,0.532873641,133.0,0.001733622,2017.0,0.026291092,20104.0,0.262050627,13562.0,0.176777288,17.0,0.000221591,4.0,5.2139e-05
ZAMOJSKI,119769.0,0.839812361,126.0,0.000883504,34.0,0.000238406,5441.0,0.038151935,17225.0,0.120780569,0.0,0.0,19.0,0.000133227
LUBLIN (MIASTO),56023.27274812454,0.5919681662423186,57.15139021816991,0.0006048191308373415,595.1516737390957,0.006296361083360344,516.9311723092471,0.00546517491015017,37367.948025876096,0.3956900113390409,276.1628057182837,0.002921076693400402,26.0096632054151,0.0002754580722702003
BÓBRECKI,17545.0,0.210672302,58643.0,0.704158211,130.0,0.00156098,27.0,0.000324204,6917.0,0.083056159,12.0,0.00014409,7.0,8.40528e-05
BRZOZOWSKI,62561.0,0.790840254,11890.0,0.150302754,4.0,5.05644e-05,7.0,8.84877e-05,4643.0,0.058692657,2.0,2.52822e-05,0.0,0.0
DOBROMILSKI,19377.273418317396,0.28245804314087003,51561.07537867364,0.7632976539258092,472.3177751809509,0.006755987986920078,7.31777518095087,0.00010591098692007814,7201.971207805702,0.10617838543210709,3.3177751809508704,4.870568692007813e-05,3.0,4.29037e-05
DROHOBYCKI,40453.193103267855,0.2542986326876091,99553.29767168479,0.6216831367621614,2259.5752113627386,0.013903192105964258,95.3025300650701,0.0005881606912795975,26812.417443310027,0.16593164579982364,13.339790451757418,8.286158468163413e-05,23.339790451757416,0.00014411248468163413
GRÓDECKI,18785.57692728001,0.2595979904717932,50281.710080564546,0.6938764379363376,770.6400916725245,0.010655229202149783,22.447926882587126,0.0003101860136845086,4604.632508624552,0.06355458837587118,89.35964939226179,0.0012361922760956699,2.054247629718382,2.8417035010015533e-05
