level,name,path,parent,is_leaf
3,127 Produkcja maszyn przemysłowych,Spis Powszechny 1931/Ludność aktywna zawodowo/127 Produkcja maszyn przemysłowych,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,128 Produkcja maszyn rolniczych,Spis Powszechny 1931/Ludność aktywna zawodowo/128 Produkcja maszyn rolniczych,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,129 Produkcja silników,Spis Powszechny 1931/Ludność aktywna zawodowo/129 Produkcja silników,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,132 Produkcja Wagonów,Spis Powszechny 1931/Ludność aktywna zawodowo/132 Produkcja Wagonów,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,"133 Produkcja rowerów, motocykli i samochodów","Spis Powszechny 1931/Ludność aktywna zawodowo/133 Produkcja rowerów, motocykli i samochodów",Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,134 Przemysł elektrotechniczny,Spis Powszechny 1931/Ludność aktywna zawodowo/134 Przemysł elektrotechniczny,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,"135 Produkcja wag, przyrządów i instrumentów precyzyjnych","Spis Powszechny 1931/Ludność aktywna zawodowo/135 Produkcja wag, przyrządów i instrumentów precyzyjnych",Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,136 Produkcja instrumentów muzycznych,Spis Powszechny 1931/Ludność aktywna zawodowo/136 Produkcja instrumentów muzycznych,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,137 Zegarmistrzostwo i jubilerstwo,Spis Powszechny 1931/Ludność aktywna zawodowo/137 Zegarmistrzostwo i jubilerstwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,14-15 Przemysł chemiczny,Spis Powszechny 1931/Ludność aktywna zawodowo/14-15 Przemysł chemiczny,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,141 Przemysł chemiczny nie wydzielony,Spis Powszechny 1931/Ludność aktywna zawodowo/141 Przemysł chemiczny nie wydzielony,Spis Powszechny 1931/Ludność aktywna zawodowo,True
