District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
OLKUSKI,18.25,13.75,14.25,13.73,12.17,0.0,22.67,3.63,3.43,4.92,3.8,2.07
OPATOWSKI,16.5,11.92,14.5,12.33,10.17,0.0,23.8,3.01,0.0,4.75,4.0,2.13
OPOCZYŃSKI,18.33,12.38,11.75,11.22,11.0,16.67,20.2,2.92,2.25,5.81,4.45,2.49
PIŃCZOWSKI,18.8,13.6,15.6,13.0,11.8,0.0,23.0,3.25,0.0,5.8,4.53,2.94
RADOMSKI,20.07,13.33,15.38,13.38,12.21,15.88,25.0,2.9,2.79,7.13,4.73,3.26
SANDOMIERSKI,17.75,12.5,16.0,12.6,10.67,0.0,22.8,3.14,2.1,6.5,5.07,2.6
STOPNICKI,17.86,12.07,13.0,12.17,11.0,15.0,21.8,3.03,2.95,5.56,4.44,2.5
WŁOSZCZOWSKI,18.56,13.06,13.29,12.4,13.2,16.67,20.57,2.61,2.57,5.4,3.62,1.91
ZAWIERCIAŃSKI,19.5,14.57,14.33,13.58,15.0,18.0,23.83,4.69,3.73,7.0,4.88,2.8
CZĘSTOCHOWA (MIASTO),19.93,14.0,0.0,14.36,14.44,0.0,0.0,3.12,0.0,5.98,4.31,2.14
SOSNOWIEC,21.33,14.57,0.0,15.17,16.0,0.0,0.0,4.94,0.0,7.0,5.19,3.48
RADOM (MIASTO),20.07,13.33,0.0,13.38,12.21,0.0,0.0,2.9,0.0,7.13,4.73,3.26
BIALSKI (BIAŁA KRAKOWSKA),21.11,16.8,16.2,14.83,14.9,0.0,0.0,4.9,2.75,8.56,6.33,4.22
BOCHEŃSKI,20.17,15.0,15.5,14.2,14.2,0.0,0.0,4.08,3.75,8.08,6.0,3.3
BRZESKI (BRZESKO),20.58,14.11,14.5,13.94,14.26,0.0,24.33,3.92,0.0,7.1,5.09,3.13
CHRZANOWSKI,21.0,15.73,16.0,15.0,14.67,0.0,22.75,5.37,0.0,8.39,6.3,4.0
DĄBROWSKI,18.33,14.0,0.0,12.43,12.0,0.0,0.0,3.96,0.0,7.0,4.93,3.39
GORLICKI,19.53,15.07,18.5,15.21,14.86,0.0,24.33,4.15,0.0,6.5,4.43,2.85
JASIELSKI,19.7,14.32,15.29,13.92,13.74,21.0,22.13,3.54,2.37,6.08,4.41,2.91
KRAKOWSKI,20.44,15.47,15.25,14.0,14.0,0.0,28.75,4.91,0.0,9.18,6.74,3.63
KRAKÓW (MIASTO),20.44,15.47,0.0,14.0,14.0,0.0,0.0,4.91,0.0,9.18,6.74,3.63
LIMANOWSKI,22.1,16.1,17.25,15.63,16.5,0.0,27.67,5.33,5.0,6.61,5.44,4.13
MIELECKI,18.5,14.0,13.6,13.11,12.14,0.0,24.0,3.75,3.33,5.96,4.63,2.78
MYŚLENICKI,21.43,15.86,0.0,14.85,15.64,0.0,16.0,5.0,0.0,7.95,6.05,3.73
NOWOSĄDECKI,21.0,15.54,16.0,15.4,16.08,0.0,30.0,4.93,3.5,6.86,5.58,3.2
NOWOTARSKI,21.43,17.5,0.0,16.38,15.73,0.0,22.0,5.81,0.0,8.5,7.0,4.14
