destination_id,destination_name,destination_type,destination_lon,destination_lat,destination_nearest_station,destination_connector_distance_m,destination_connector_time_min,time_min,rail_km,horse_km,total_km
City:Pniewy,Pniewy,City,16.256389,52.508889,Pniewy,18.965583335441128,0.2844837500316169,1788.7865874732192,464.9348978114327,1.5474017442654422,466.4822995556981
City:Pobiedziska,Pobiedziska,City,17.279444,52.48,Olekszyn,15956.23012979572,239.34345194693577,1814.2378594638794,408.6848711437884,17.48466629072572,426.16953743451415
City:Podbrodzie,Podbrodzie,City,25.783333,54.983333,Podbrodzie,1826.8143678792728,27.40221551818909,1885.1732834298589,483.1757250477329,3.355250528809274,486.5309755765421
City:Poddębice,Poddębice,City,18.957222,51.893333,Ozorków Wąskotorowy,22969.799447478305,344.54699171217453,1341.2748765305378,256.43435349982883,24.498235608408304,280.9325891082371
City:Podgórz (dziś część Torunia),Podgórz (dziś część Torunia),City,18.5878,52.9877,Toruń,3044.145019019693,45.66217528529539,1417.0478085150733,355.094227248168,4.572581179949694,359.6668084281177
City:Podhajce,Podhajce,City,25.134167,49.275,Podhajce,0.0,0.0,1627.1887406478015,422.455712201581,1.528436160930001,423.984148362511
City:Podwołoczyska,Podwołoczyska,City,26.116667,49.516667,Podwołoczyska,2570.7706063065257,38.56155909459788,1891.140560715964,481.8084809246196,4.099206767236526,485.9076876918561
City:Pogorzela,Pogorzela,City,17.230556,51.822222,Kobylin,11376.595809692935,170.64893714539403,1775.1970368717386,416.49367675893063,12.905031970622936,429.39870872955356
City:Pomorzany (dziś Ukraina),Pomorzany (dziś Ukraina),City,24.935278,49.635278,Złoczów,19130.492511212968,286.9573876681945,1769.2667320355429,384.30413784772827,20.658928672142967,404.96306651987123
City:Poniec,Poniec,City,16.808333,51.763889,Karzec,6808.7855618381245,102.13178342757186,1792.192356394062,439.0119613788357,8.337221722768124,447.3491831016038
City:Postawy,Postawy,City,26.833333,55.116667,Postawy,1712.8222121423894,25.69233318213584,2196.136342560091,565.512932967188,3.2412583730723905,568.7541913402605
City:Powidz,Powidz,City,17.914722,52.412778,Powidz,154.32277842357047,2.314841676353557,1389.4925929875117,359.2528183429315,1.6827589393535716,360.93557728228507
City:Poznań,Poznań,City,16.934167,52.408333,Poznań (Dawny Dworzec),1301.319469169782,19.51979203754673,1616.219998439116,414.4270648500731,2.829755630099783,417.2568204801729
City:Praszka,Praszka,City,18.450556,51.056111,Praszka,165.27611214909703,2.479141682236455,1622.1293560897439,420.47056695830355,1.693712273079098,422.16427923138264
City:Proszowice,Proszowice,City,20.288717,50.193139,Proszowice,223.7455239069922,3.3561828586048827,983.1650031346884,248.64189046181784,2.5970195013460127,251.23890996316388
City:Pruszków,Pruszków,City,20.805556,52.165556,Pruszków,552.611571805852,8.28917357708778,1056.9351013491817,270.10610481097797,2.081047732735853,272.18715254371386
City:Prużana,Prużana,City,24.466667,52.55,Prużana,1223.056078308621,18.345841174629314,833.4410212783441,207.3889163822358,3.059211617146375,210.4481279993822
City:Przasnysz,Przasnysz,City,20.880556,53.019444,Przasnysz,1772.7367154882395,26.59105073232359,975.8229281096336,243.92707154035153,3.301172876418241,247.22824441676977
City:Przedbórz,Przedbórz,City,19.873889,51.087778,Sulejów Pilica,26354.876655803742,395.3231498370561,1466.4393341354466,276.0232723629026,27.883312816733742,303.90658517963635
