Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
ŁÓDZKIE;SIERADZKI;168051;109137;58914;967;36251;9691;2770;2358;1263;950;1388;3276
ŁÓDZKIE;TURECKI;101734;81534;20200;440;11528;3802;600;1158;666;335;660;1011
ŁÓDZKIE;WIELUŃSKI;214299;171424;42875;873;20637;9468;2468;2508;1349;838;1277;3457
ŁÓDZKIE;ŁASKI;171885;92036;79849;894;56916;9201;2992;2501;1956;1138;1599;2652
ŁÓDZKIE;ŁÓDZKI;161671;52542;109129;1310;80090;10133;5473;3971;1556;1930;1458;3208
ŁÓDZKIE;ŁÓDŹ (MIASTO);604629;1941;602688;1051;375972;103214;29271;22050;12900;14925;20534;22771
ŁÓDZKIE;ŁĘCZYCKI;127585;85069;42516;934;25078;7369;2115;1863;964;805;1245;2143
ŚLĄSKIE;BIELSKI (BIELSKO);;;;;;;;;;;;
ŚLĄSKIE;BIELSKO (MIASTO);;;;;;;;;;;;
ŚLĄSKIE;CIESZYŃSKI;;;;;;;;;;;;
ŚLĄSKIE;KATOWICE (MIASTO);;;;;;;;;;;;
ŚLĄSKIE;KATOWICKI;;;;;;;;;;;;
ŚLĄSKIE;KRÓLEWSKA HUTA;;;;;;;;;;;;
ŚLĄSKIE;LUBLINIECKI;;;;;;;;;;;;
ŚLĄSKIE;PSZCZYŃSKI;;;;;;;;;;;;
ŚLĄSKIE;RYBNICKI;;;;;;;;;;;;
ŚLĄSKIE;TARNOGÓRSKI;;;;;;;;;;;;
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;;;;;;;;;;;;
