Region;District;Konie;Bydło rogate;Trzoda chlewna;Owce;Kozy
TARNOPOLSKIE;BRZEŻAŃSKI;16129.0;30873.0;12653.0;3047.0;1237.0
TARNOPOLSKIE;BUCZACKI;17709.0;37879.0;13071.0;3162.0;2367.0
TARNOPOLSKIE;CZORTKOWSKI;11660.0;20949.0;13293.0;953.0;1371.0
TARNOPOLSKIE;KAMIONECKI;13213.0;27503.0;15963.0;3935.0;80.0
TARNOPOLSKIE;KOPYCZYNIECKI;13543.0;26417.0;18802.0;1178.0;1619.0
TARNOPOLSKIE;PODHAJECKI;14862.0;31297.0;10905.0;1433.0;2389.0
TARNOPOLSKIE;PRZEMYŚLAŃSKI;12885.0;28361.0;10698.0;631.0;555.0
TARNOPOLSKIE;RADZIECHOWSKI;13012.0;23253.0;25342.0;11772.0;111.0
TARNOPOLSKIE;SKAŁACKI;14903.0;22724.0;17524.0;1999.0;577.0
TARNOPOLSKIE;TARNOPOLSKI;22249.0;35489.0;18906.0;1524.0;748.0
TARNOPOLSKIE;TREMBOWELSKI;13069.0;24151.0;12071.0;690.0;515.0
TARNOPOLSKIE;ZALESZCZYCKI;9469.0;14864.0;11590.0;10536.0;998.0
TARNOPOLSKIE;ZBARASKI;13949.0;21128.0;12144.0;7598.0;185.0
TARNOPOLSKIE;ZBOROWSKI;12792.0;25460.0;14392.0;1739.0;490.0
TARNOPOLSKIE;ZŁOCZOWSKI;15159.0;33896.0;13881.0;1599.0;422.0
WARSZAWSKIE;BŁOŃSKI;11776.0;31749.0;23227.0;218.0;191.0
WARSZAWSKIE;CIECHANOWSKI;16097.0;38925.0;24038.0;2086.0;33.0
WARSZAWSKIE;GOSTYNIŃSKI;11701.0;34293.0;24514.0;1824.0;733.0
WARSZAWSKIE;GRÓJECKI;20287.0;51092.0;49942.0;2240.0;244.0
WARSZAWSKIE;KUTNOWSKI;13539.0;35703.0;22779.0;1670.0;474.0
WARSZAWSKIE;LIPNOWSKI;17487.0;51064.0;41105.0;5351.0;883.0
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);12524.0;28628.0;22529.0;1428.0;110.0
WARSZAWSKIE;MIŃSKI;12536.0;34977.0;34878.0;1803.0;57.0
WARSZAWSKIE;MŁAWSKI;16791.0;44759.0;24512.0;704.0;247.0
WARSZAWSKIE;NIESZAWSKI;17641.0;41768.0;38474.0;5554.0;1738.0
WARSZAWSKIE;PRZASNYCKI;12333.0;32179.0;18221.0;1325.0;63.0
WARSZAWSKIE;PUŁTUSKI;16852.0;44187.0;33465.0;1867.0;124.0
