Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
POZNAŃSKIE;WOLSZTYŃSKI;47892;31342;16550;1014;6515;2044;1695;1283;450;328;544;2677
POZNAŃSKIE;WRZESIŃSKI;43698;24807;18891;534;8311;1924;2432;992;433;342;735;3188
POZNAŃSKIE;WYRZYSKI;66873;40358;26515;933;12236;2884;3423;1872;687;576;955;2949
POZNAŃSKIE;WĄGROWIECKI;54259;34376;19883;853;8416;2236;2644;922;524;443;781;3064
POZNAŃSKIE;ŚREDZKI;49902;31896;18006;806;8152;2049;1970;803;377;372;794;2683
POZNAŃSKIE;ŚREMSKI;57304;32638;24666;1406;10606;2611;2689;1162;495;976;873;3848
POZNAŃSKIE;ŻNIŃSKI;41521;25610;15911;834;7928;1635;1357;903;353;304;643;1954
STANISŁAWOWSKIE;DOLIŃSKI;118373;80007;38366;1471;23956;4518;1636;1721;583;435;1242;2804
STANISŁAWOWSKIE;HORODEŃSKI;92894;78699;14195;149;6443;3209;530;1156;509;252;540;1407
STANISŁAWOWSKIE;KAŁUSKI;102252;84099;18153;306;9418;3103;787;1139;515;312;822;1751
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);93952;74300;19652;475;10367;3527;995;1370;366;327;570;1655
STANISŁAWOWSKIE;KOŁOMYJSKI;176000;129239;46761;681;18117;9191;4274;3196;1654;857;1923;6868
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;140702;103477;37225;1324;21389;5127;2345;1933;688;545;1134;2740
STANISŁAWOWSKIE;ROHATYŃSKI;127252;107080;20172;449;7838;4988;1459;1630;767;337;795;1909
STANISŁAWOWSKIE;STANISŁAWOWSKI;198359;118295;80064;513;25012;13928;13966;5475;2268;1875;3620;13407
STANISŁAWOWSKIE;STRYJSKI;152631;99988;52643;814;21056;8342;7751;3043;1385;871;2336;7045
STANISŁAWOWSKIE;TŁUMACKI;116028;98176;17852;419;7727;3716;1348;1403;558;238;659;1784
STANISŁAWOWSKIE;ŚNIATYŃSKI;78025;63839;14186;61;5290;3139;1430;1470;448;302;467;1579
STANISŁAWOWSKIE;ŻYDACZOWSKI;83817;68235;15582;433;7168;2872;954;1160;454;289;592;1660
TARNOPOLSKIE;BORSZCZOWSKI;103277;85371;17906;567;7073;4730;984;1603;546;296;587;1520
TARNOPOLSKIE;BRODZKI;91248;68285;22963;689;9273;4773;1733;1463;781;433;791;3027
TARNOPOLSKIE;BRZEŻAŃSKI;103824;83092;20732;623;8245;4029;1244;1728;709;346;837;2971
TARNOPOLSKIE;BUCZACKI;139062;111143;27919;494;12881;5862;1328;1994;772;434;1111;3043
TARNOPOLSKIE;CZORTKOWSKI;84008;61549;22459;352;7387;4720;2576;2705;726;350;896;2747
TARNOPOLSKIE;KAMIONECKI;82111;64620;17491;569;8006;3736;744;1258;530;215;559;1874
TARNOPOLSKIE;KOPYCZYNIECKI;88614;72612;16002;477;5883;4024;1002;1774;507;315;624;1396
TARNOPOLSKIE;PODHAJECKI;95663;84238;11425;287;4890;2618;400;1096;386;223;508;1017
TARNOPOLSKIE;PRZEMYŚLAŃSKI;89908;73639;16269;511;6679;3268;1423;1409;555;227;604;1593
TARNOPOLSKIE;RADZIECHOWSKI;69313;56245;13068;386;5468;3475;551;954;479;201;418;1136
TARNOPOLSKIE;SKAŁACKI;89215;69648;19567;441;7937;4807;1207;2056;618;306;646;1549
TARNOPOLSKIE;TARNOPOLSKI;142220;97209;45011;485;16049;9952;4135;3841;1652;917;1938;6042
TARNOPOLSKIE;TREMBOWELSKI;84321;69961;14360;426;6390;2952;469;1029;470;283;579;1762
TARNOPOLSKIE;ZALESZCZYCKI;72021;59086;12935;470;5069;2866;503;1251;481;308;545;1442
TARNOPOLSKIE;ZBARASKI;65579;56236;9343;94;3675;2108;418;1203;334;198;418;895
TARNOPOLSKIE;ZBOROWSKI;81413;70106;11307;295;4392;2961;670;940;379;209;457;1004
TARNOPOLSKIE;ZŁOCZOWSKI;118609;90143;28466;468;10820;5414;2390;2103;847;538;1098;4788
WARSZAWSKIE;BŁOŃSKI;;;;;;;;;;;;
WARSZAWSKIE;CIECHANOWSKI;;;;;;;;;;;;
WARSZAWSKIE;GOSTYNIŃSKI;;;;;;;;;;;;
WARSZAWSKIE;GRÓJECKI;;;;;;;;;;;;
WARSZAWSKIE;KUTNOWSKI;;;;;;;;;;;;
WARSZAWSKIE;LIPNOWSKI;;;;;;;;;;;;
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);;;;;;;;;;;;
WARSZAWSKIE;MIŃSKI;;;;;;;;;;;;
WARSZAWSKIE;MŁAWSKI;;;;;;;;;;;;
WARSZAWSKIE;NIESZAWSKI;;;;;;;;;;;;
WARSZAWSKIE;PRZASNYCKI;;;;;;;;;;;;
WARSZAWSKIE;PUŁTUSKI;;;;;;;;;;;;
WARSZAWSKIE;PŁOCKI;;;;;;;;;;;;
WARSZAWSKIE;PŁOŃSKI;;;;;;;;;;;;
WARSZAWSKIE;RADZYMIŃSKI;;;;;;;;;;;;
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);;;;;;;;;;;;
WARSZAWSKIE;RYPIŃSKI;;;;;;;;;;;;
WARSZAWSKIE;SIERPECKI;;;;;;;;;;;;
WARSZAWSKIE;SKIERNIEWICKI;;;;;;;;;;;;
WARSZAWSKIE;SOCHACZEWSKI;;;;;;;;;;;;
WARSZAWSKIE;WARSZAWSKI;;;;;;;;;;;;
WARSZAWSKIE;WŁOCŁAWSKI;;;;;;;;;;;;
WARSZAWSKIE;ŁOWICKI;;;;;;;;;;;;
WOŁYŃSKIE;DUBIEŃSKI;;;;;;;;;;;;
WOŁYŃSKIE;HOROCHOWSKI;;;;;;;;;;;;
WOŁYŃSKIE;KOSTOPOLSKI;;;;;;;;;;;;
WOŁYŃSKIE;KOWELSKI;;;;;;;;;;;;
WOŁYŃSKIE;KRZEMIENIECKI;;;;;;;;;;;;
WOŁYŃSKIE;LUBOMELSKI;;;;;;;;;;;;
WOŁYŃSKIE;RÓWIEŃSKI;;;;;;;;;;;;
WOŁYŃSKIE;SARNEŃSKI;;;;;;;;;;;;
WOŁYŃSKIE;WŁODZIMIERSKI;;;;;;;;;;;;
WOŁYŃSKIE;ZDOŁBUNOWSKI;;;;;;;;;;;;
WOŁYŃSKIE;ŁUCKI;;;;;;;;;;;;
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;;;;;;;;;;;;
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;;;;;;;;;;;;
ZIEMIA WILEŃSKA;OSZMIAŃSKI;;;;;;;;;;;;
ZIEMIA WILEŃSKA;POSTAWSKI;;;;;;;;;;;;
ZIEMIA WILEŃSKA;WILEJSKI;;;;;;;;;;;;
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;;;;;;;;;;;;
ZIEMIA WILEŃSKA;WILNO (MIASTO);;;;;;;;;;;;
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;;;;;;;;;;;;
ŁÓDZKIE;BRZEZIŃSKI;;;;;;;;;;;;
ŁÓDZKIE;KALISKI;;;;;;;;;;;;
ŁÓDZKIE;KOLSKI;;;;;;;;;;;;
ŁÓDZKIE;KONIŃSKI;;;;;;;;;;;;
ŁÓDZKIE;PIOTRKOWSKI;;;;;;;;;;;;
ŁÓDZKIE;RADOMSZCZAŃSKI;;;;;;;;;;;;
ŁÓDZKIE;SIERADZKI;;;;;;;;;;;;
ŁÓDZKIE;TURECKI;;;;;;;;;;;;
ŁÓDZKIE;WIELUŃSKI;;;;;;;;;;;;
ŁÓDZKIE;ŁASKI;;;;;;;;;;;;
ŁÓDZKIE;ŁÓDZKI;;;;;;;;;;;;
ŁÓDZKIE;ŁÓDŹ (MIASTO);;;;;;;;;;;;
ŁÓDZKIE;ŁĘCZYCKI;;;;;;;;;;;;
ŚLĄSKIE;BIELSKI (BIELSKO);62584;17865;44719;423;28294;2534;7070;960;627;576;1323;2912
ŚLĄSKIE;BIELSKO (MIASTO);22332;133;22199;37;9260;4195;970;1265;863;759;1991;2859
ŚLĄSKIE;CHORZÓW;101977;580;101397;94;63581;7809;3929;4185;1553;1542;2234;16470
ŚLĄSKIE;CIESZYŃSKI;81087;31634;49453;1585;26034;3977;3734;3034;1328;1168;2077;6516
ŚLĄSKIE;KATOWICE (MIASTO);126058;713;125345;167;62407;15807;13153;8352;2637;2492;4976;15354
ŚLĄSKIE;KATOWICKI;215145;1831;213314;313;140367;9477;13007;6053;2478;2053;2617;36949
ŚLĄSKIE;LUBLINIECKI;45232;19587;25645;1244;11715;1274;3780;1456;462;828;600;4286
ŚLĄSKIE;PSZCZYŃSKI;162015;39994;122021;1694;75475;5032;13994;3363;1637;935;1885;18006
ŚLĄSKIE;RYBNICKI;212829;40401;172428;812;118830;6856;11994;4675;2143;2363;2085;22670
ŚLĄSKIE;TARNOGÓRSKI;64592;3223;61369;595;30909;2679;9968;3295;688;601;1053;11581
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;201176;1528;199648;134;140294;7157;8400;5547;1669;1726;2121;32600
