Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR;R;PR
Wileńska;MOŁODECZAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;2.0;20.0;5.0;49.0;8.0;292.0;23.0;365.0;38.0
Lwowska;MOŚCISKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;14.0;0.0;11.0;0.0;193.0;2.0;224.0;2.0
Krakowska;MYŚLENICKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;4.0;0.0;6.0;1.0;134.0;10.0;149.0;11.0
Warszawa Okręgowa;MŁAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;6.0;1.0;11.0;0.0;21.0;0.0;387.0;24.0;429.0;25.0
Lwowska;NADWÓRNIAŃSKI;0.0;0.0;1.0;0.0;0.0;0.0;9.0;1.0;32.0;7.0;54.0;13.0;55.0;8.0;374.0;51.0;525.0;80.0
Poleska;NIEŚWIESKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;0.0;20.0;3.0;42.0;5.0;657.0;42.0;724.0;50.0
Lwowska;NIŻAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;6.0;0.0;15.0;0.0;5.0;1.0;165.0;5.0;195.0;6.0
Poleska;NOWOGRÓDZKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;6.0;1.0;26.0;3.0;91.0;5.0;661.0;75.0;786.0;84.0
Krakowska;NOWOSĄDECKI;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;15.0;0.0;17.0;0.0;54.0;9.0;662.0;114.0;754.0;123.0
Krakowska;NOWOTARSKI;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;9.0;0.0;14.0;1.0;42.0;1.0;642.0;56.0;712.0;58.0
Wielkopolska;NOWOTOMYSKI;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;13.0;1.0;36.0;0.0;23.0;6.0;454.0;15.0;532.0;22.0
Wielkopolska;OBORNICKI;0.0;0.0;0.0;0.0;1.0;0.0;11.0;1.0;18.0;1.0;37.0;0.0;40.0;0.0;343.0;13.0;450.0;15.0
Wielkopolska;ODOLANOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;1.0;10.0;0.0;13.0;2.0;243.0;11.0;273.0;14.0
Kielecka;OLKUSKI;2.0;0.0;1.0;0.0;1.0;0.0;9.0;0.0;16.0;1.0;27.0;2.0;63.0;2.0;590.0;28.0;709.0;33.0
Kielecka;OPATOWSKI;1.0;0.0;1.0;0.0;8.0;3.0;3.0;2.0;8.0;2.0;24.0;3.0;98.0;6.0;532.0;39.0;675.0;55.0
Kielecka;OPOCZYŃSKI;0.0;0.0;0.0;0.0;2.0;0.0;7.0;0.0;9.0;0.0;42.0;2.0;60.0;8.0;366.0;23.0;486.0;33.0
