District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
NIŻAŃSKI;0.0;0.0;7.0;0.0;274.0;21.0;433.0;37.0;0.0;0.0;0.0;0.0
NOWOGRÓDZKI;0.0;1.0;52.0;5.0;676.0;65.0;470.0;81.0;38.0;2.0;4.0;0.0
NOWOSĄDECKI;1.0;3.0;106.0;108.0;936.0;297.0;1130.0;281.0;0.0;2.0;9.0;5.0
NOWOTARSKI;0.0;1.0;183.0;47.0;720.0;221.0;858.0;168.0;0.0;1.0;2.0;1.0
NOWOTOMYSKI;0.0;0.0;84.0;0.0;591.0;23.0;160.0;43.0;5.0;1.0;10.0;2.0
OBORNICKI;1.0;0.0;86.0;2.0;444.0;24.0;201.0;12.0;4.0;0.0;14.0;0.0
ODOLANOWSKI;0.0;0.0;19.0;1.0;337.0;20.0;190.0;31.0;3.0;0.0;7.0;3.0
OLKUSKI;0.0;0.0;103.0;9.0;809.0;68.0;873.0;142.0;4.0;2.0;43.0;8.0
OPATOWSKI;2.0;0.0;110.0;6.0;605.0;32.0;1422.0;113.0;0.0;0.0;7.0;0.0
OPOCZYŃSKI;0.0;0.0;45.0;2.0;222.0;12.0;929.0;75.0;1.0;1.0;14.0;2.0
OSTROWSKI (OSTRÓW MAZOWIECKA);0.0;0.0;54.0;4.0;639.0;40.0;420.0;40.0;0.0;0.0;6.0;0.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI);1.0;0.0;124.0;5.0;447.0;32.0;270.0;43.0;7.0;0.0;11.0;0.0
OSTROŁĘCKI;0.0;0.0;40.0;2.0;540.0;37.0;397.0;75.0;1.0;0.0;1.0;0.0
OSTRZESZOWSKI;0.0;0.0;54.0;0.0;255.0;15.0;260.0;27.0;1.0;0.0;8.0;0.0
OSZMIAŃSKI;0.0;0.0;47.0;5.0;610.0;21.0;354.0;10.0;1.0;1.0;1.0;0.0
OŚWIĘCIMSKI;0.0;0.0;49.0;1.0;551.0;36.0;420.0;39.0;4.0;4.0;87.0;106.0
PECZENIŻYŃSKI;0.0;0.0;6.0;0.0;240.0;38.0;188.0;27.0;0.0;0.0;1.0;2.0
PILZNEŃSKI;0.0;0.0;9.0;0.0;258.0;10.0;272.0;30.0;0.0;0.0;0.0;0.0
PIOTRKOWSKI;3.0;0.0;135.0;3.0;1314.0;83.0;1050.0;123.0;2.0;0.0;22.0;5.0
PIŃCZOWSKI;0.0;0.0;79.0;4.0;759.0;55.0;731.0;83.0;2.0;0.0;30.0;13.0
PIŃSKI;1.0;0.0;121.0;9.0;1027.0;81.0;367.0;158.0;46.0;4.0;52.0;10.0
PLESZEWSKI;2.0;0.0;44.0;0.0;315.0;24.0;112.0;32.0;0.0;0.0;2.0;0.0
PODHAJECKI;1.0;0.0;6.0;1.0;416.0;29.0;534.0;62.0;2.0;0.0;4.0;0.0
POSTAWSKI;0.0;0.0;36.0;4.0;313.0;26.0;232.0;46.0;1.0;0.0;1.0;2.0
POZNAŃ (MIASTO);78.0;0.0;1150.0;34.0;2315.0;129.0;1560.0;236.0;5.0;2.0;190.0;21.0
POZNAŃSKI;0.0;0.0;33.0;1.0;526.0;37.0;273.0;37.0;5.0;1.0;23.0;5.0
PRUŻAŃSKI;0.0;0.0;61.0;10.0;627.0;30.0;251.0;37.0;0.0;2.0;3.0;0.0
PRZASNYCKI;0.0;0.0;34.0;0.0;434.0;35.0;261.0;20.0;0.0;0.0;0.0;0.0
PRZEMYSKI;2.0;0.0;152.0;4.0;988.0;25.0;1371.0;70.0;1.0;0.0;96.0;37.0
PRZEMYŚLAŃSKI;0.0;0.0;11.0;0.0;293.0;11.0;645.0;31.0;0.0;0.0;2.0;0.0
PRZEWORSKI;1.0;0.0;25.0;1.0;252.0;15.0;385.0;37.0;1.0;0.0;5.0;4.0
PSZCZYŃSKI;4.0;1.0;272.0;19.0;828.0;56.0;466.0;69.0;4.0;0.0;60.0;7.0
PUŁAWSKI;1.0;0.0;83.0;15.0;1107.0;135.0;879.0;362.0;5.0;0.0;11.0;2.0
PUŁTUSKI;0.0;0.0;75.0;4.0;932.0;45.0;693.0;27.0;3.0;0.0;11.0;0.0
PŁOCKI;5.0;1.0;128.0;8.0;881.0;49.0;786.0;229.0;6.0;1.0;13.0;1.0
PŁOŃSKI;0.0;0.0;43.0;4.0;443.0;33.0;466.0;85.0;1.0;0.0;6.0;3.0
RADOMSKI;7.0;0.0;248.0;18.0;984.0;45.0;1396.0;164.0;1.0;0.0;8.0;8.0
RADOMSZCZAŃSKI;3.0;0.0;132.0;4.0;892.0;70.0;1034.0;262.0;1.0;1.0;11.0;1.0
RADZIECHOWSKI;0.0;0.0;23.0;0.0;291.0;12.0;454.0;19.0;0.0;0.0;5.0;0.0
RADZYMIŃSKI;0.0;0.0;53.0;1.0;684.0;62.0;465.0;56.0;0.0;0.0;0.0;0.0
RADZYŃSKI;0.0;0.0;46.0;8.0;584.0;33.0;409.0;61.0;5.0;0.0;11.0;0.0
RAWICKI;2.0;0.0;67.0;0.0;505.0;33.0;236.0;39.0;0.0;1.0;16.0;2.0
RAWSKI (RAWA MAZOWIECKA);2.0;0.0;50.0;7.0;562.0;56.0;458.0;67.0;0.0;0.0;1.0;0.0
RAWSKI (RAWA RUSKA);0.0;0.0;36.0;0.0;496.0;0.0;938.0;0.0;0.0;0.0;13.0;0.0
ROHATYŃSKI;2.0;0.0;28.0;0.0;380.0;25.0;845.0;94.0;0.0;0.0;0.0;0.0
ROPCZYCKI;0.0;0.0;42.0;1.0;353.0;14.0;772.0;28.0;1.0;0.0;3.0;0.0
RUDECKI;0.0;0.0;8.0;0.0;325.0;16.0;546.0;69.0;0.0;0.0;5.0;0.0
RYBNICKI;2.0;0.0;322.0;19.0;1517.0;100.0;933.0;111.0;9.0;0.0;105.0;17.0
RYPIŃSKI;0.0;0.0;86.0;6.0;557.0;61.0;466.0;143.0;1.0;1.0;30.0;11.0
RZESZOWSKI;2.0;0.0;94.0;5.0;1062.0;34.0;859.0;74.0;3.0;0.0;0.0;0.0
RÓWIEŃSKI;6.0;0.0;278.0;23.0;1862.0;123.0;1435.0;286.0;19.0;3.0;115.0;17.0
SAMBORSKI;0.0;0.0;18.0;0.0;461.0;7.0;503.0;40.0;2.0;0.0;13.0;7.0
SANDOMIERSKI;0.0;0.0;59.0;0.0;634.0;42.0;922.0;82.0;0.0;0.0;17.0;0.0
