Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;1545;8291;512;6120;12142; -   ; 173 
STANISŁAWOWSKIE;ROHATYŃSKI;15394;11587;5434;8817;12186; 708 ; 1 023 
STANISŁAWOWSKIE;STANISŁAWOWSKI;8526;13292;1441;9985;14136; 65 ; 611 
STANISŁAWOWSKIE;STRYJSKI;3018;9711;1371;15266;9677; -   ; 166 
STANISŁAWOWSKIE;TŁUMACKI;10711;11765;2828;7557;9774; 15 ; 169 
STANISŁAWOWSKIE;ŚNIATYŃSKI;8776;7102;3124;2515;4330; 173 ; 1 
STANISŁAWOWSKIE;ŻYDACZOWSKI;6627;8035;1637;4961;9181; 140 ; 451 
TARNOPOLSKIE;BORSZCZOWSKI;16610;14010;6085;1962;7965; 17 ; 530 
TARNOPOLSKIE;BRODZKI;8464;11585;5534;8297;8332; -   ; 3 061 
TARNOPOLSKIE;BRZEŻAŃSKI;12227;14401;8421;10875;11777; 371 ; 2 550 
TARNOPOLSKIE;BUCZACKI;17491;19126;7385;6703;11035; 55 ; 1 871 
TARNOPOLSKIE;CZORTKOWSKI;12710;9545;5819;1382;7187; 216 ; 1 521 
TARNOPOLSKIE;KAMIONECKI;9845;8675;2951;5706;7349; 116 ; 977 
TARNOPOLSKIE;KOPYCZYNIECKI;14093;12386;7264;1962;8923; 315 ; 2 557 
TARNOPOLSKIE;PODHAJECKI;16190;12873;7330;8382;10630; 238 ; 3 104 
TARNOPOLSKIE;PRZEMYŚLAŃSKI;12229;8802;4435;8394;9033; 198 ; 1 236 
TARNOPOLSKIE;RADZIECHOWSKI;10674;9853;5183;7491;8332; 52 ; 971 
TARNOPOLSKIE;SKAŁACKI;16473;9032;10690;3191;8327; 310 ; 6 089 
TARNOPOLSKIE;TARNOPOLSKI;19449;16880;11605;11204;12435; 711 ; 7 893 
TARNOPOLSKIE;TREMBOWELSKI;13555;11685;7090;3591;7974; 169 ; 4 102 
TARNOPOLSKIE;ZALESZCZYCKI;11002;8141;5067;1616;6939; 215 ; 606 
TARNOPOLSKIE;ZBARASKI;14797;8895;7824;8832;5686; 99 ; 5 332 
TARNOPOLSKIE;ZBOROWSKI;10270;12387;8442;10877;9098; 114 ; 3 214 
TARNOPOLSKIE;ZŁOCZOWSKI;11715;10960;7144;9554;9769; 168 ; 2 237 
WARSZAWSKIE;BŁOŃSKI;6170;27090;2111;8471;12313; 1 882 ; 135 
WARSZAWSKIE;CIECHANOWSKI;10523;29413;4123;5507;9428; 1 361 ; 280 
WARSZAWSKIE;GOSTYNIŃSKI;5554;29252;1475;5996;11799; 527 ; 146 
WARSZAWSKIE;GRÓJECKI;7903;45934;2752;16632;19818; 70 ; 191 
WARSZAWSKIE;KUTNOWSKI;11987;22177;3643;7124;9146; 2 879 ; 25 
WARSZAWSKIE;LIPNOWSKI;5477;37878;6836;4881;12788; 1 402 ; 163 
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);5522;25312;1485;3958;7851; 119 ; 994 
WARSZAWSKIE;MIŃSKI;2572;28880;2687;9075;14739; -   ; 750 
WARSZAWSKIE;MŁAWSKI;2097;45482;1823;3667;15890; 156 ; 1 294 
WARSZAWSKIE;NIESZAWSKI;11995;38604;9644;3155;13238; 2 799 ; 14 
WARSZAWSKIE;PRZASNYCKI;6506;27477;1823;2558;9094; 347 ; 582 
WARSZAWSKIE;PUŁTUSKI;7075;40025;3019;6891;15193; 179 ; 1 513 
WARSZAWSKIE;PŁOCKI;10623;42245;6635;7178;15250; 2 571 ; 290 
WARSZAWSKIE;PŁOŃSKI;7571;40303;4256;5828;12778; 903 ; 351 
WARSZAWSKIE;RADZYMIŃSKI;1716;22558;1363;4319;10563; -   ; 1 032 
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);2734;39206;3196;8040;16018; 22 ; 252 
WARSZAWSKIE;RYPIŃSKI;4257;31874;6072;4133;11821; 1 309 ; 266 
WARSZAWSKIE;SIERPECKI;2816;36471;2360;4126;13409; 136 ; 523 
WARSZAWSKIE;SKIERNIEWICKI;2039;24568;1935;7448;8310; 66 ; 82 
WARSZAWSKIE;SOCHACZEWSKI;6136;23598;1721;6550;10425; 1 174 ; 121 
WARSZAWSKIE;WARSZAWSKI;3664;23058;1907;7638;18466; 279 ; 222 
WARSZAWSKIE;WŁOCŁAWSKI;8385;29825;7856;4222;11087; 2 538 ; 77 
WARSZAWSKIE;ŁOWICKI;7338;36049;2313;10358;12632; 1 156 ; 103 
WOŁYŃSKIE;DUBIEŃSKI;41871;41999;22276;31681;19411; 311 ; 13 078 
WOŁYŃSKIE;HOROCHOWSKI;32201;18848;12538;13368;11459; 44 ; 1 990 
WOŁYŃSKIE;KOSTOPOLSKI;6183;30983;4963;13758;14620; -   ; 7 199 
WOŁYŃSKIE;KOWELSKI;23256;62568;10383;12330;26232; 8 ; 4 293 
WOŁYŃSKIE;KRZEMIENIECKI;19545;49162;20664;36750;17525; 122 ; 24 476 
WOŁYŃSKIE;LUBOMELSKI;4086;21450;3665;3085;8694; -   ; 2 054 
WOŁYŃSKIE;RÓWIEŃSKI;32277;37422;16371;26049;16398; 4 185 ; 6 469 
WOŁYŃSKIE;SARNEŃSKI;1269;43166;5534;8902;15748; -   ; 6 240 
