Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;17 388;123 628;78 295;152 817;852 776;0
ZIEMIA WILEŃSKA;OSZMIAŃSKI;8 081;124 108;69 236;125 271;920 582;0
ZIEMIA WILEŃSKA;POSTAWSKI;17 239;122 264;35 422;60 317;995 937;0
ZIEMIA WILEŃSKA;WILEJSKI;6 072;171 260;92 097;85 228;1 498 811;0
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;14 733;272 435;132 403;173 268;1 866 545;0
ZIEMIA WILEŃSKA;WILNO (MIASTO);;;;;;
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;20 825;191 220;53 944;81 432;1 173 500;0
ŁÓDZKIE;BRZEZIŃSKI;44 162;393 714;12 315;101 339;1 858 278;6 739
ŁÓDZKIE;KALISKI;128 008;423 837;33 238;151 140;1 951 155;298 255
ŁÓDZKIE;KOLSKI;112 700;490 255;48 150;78 568;2 407 638;213 861
ŁÓDZKIE;KONIŃSKI;45 743;466 780;20 769;77 517;1 791 520;103 056
ŁÓDZKIE;PIOTRKOWSKI;76 628;635 461;42 976;164 539;2 825 317;0
ŁÓDZKIE;RADOMSZCZAŃSKI;51 024;590 834;51 673;100 812;3 143 622;1 048
ŁÓDZKIE;SIERADZKI;74 281;696 824;22 594;177 371;2 786 346;40 120
ŁÓDZKIE;SŁUPECKI;63 884;344 433;41 614;57 987;1 532 383;141 539
ŁÓDZKIE;TURECKI;67 177;434 020;19 548;110 922;1 865 226;105 141
ŁÓDZKIE;WIELUŃSKI;45 090;632 426;21 824;183 501;3 034 528;80 925
ŁÓDZKIE;ŁASKI;43 205;480 169;25 372;113 003;1 902 348;8 896
ŁÓDZKIE;ŁÓDZKI;16 194;263 168;7 094;76 747;1 355 973;0
ŁÓDZKIE;ŁÓDŹ (MIASTO);;;;;;
ŁÓDZKIE;ŁĘCZYCKI;167 069;300 514;45 738;111 041;1 785 548;382 549
ŚLĄSKIE;BIELSKI (BIELSKO);8 271;25 459;5 727;42 783;326 458;5 030
ŚLĄSKIE;BIELSKO (MIASTO);;;;;;
ŚLĄSKIE;CIESZYŃSKI;20 354;32 433;11 263;73 281;407 580;3 360
ŚLĄSKIE;KATOWICE (MIASTO);;;;;;
ŚLĄSKIE;KATOWICKI;5 548;45 367;5 634;19 991;336 319;0
ŚLĄSKIE;KRÓLEWSKA HUTA;;;;;;
ŚLĄSKIE;LUBLINIECKI;20 669;102 259;16 316;62 650;742 261;28 280
ŚLĄSKIE;PSZCZYŃSKI;27 816;160 987;22 458;102 239;1 362 013;45 880
ŚLĄSKIE;RYBNICKI;54 899;230 602;26 665;114 630;1 607 068;55 620
ŚLĄSKIE;TARNOGÓRSKI;4 026;41 812;5 681;14 593;394 200;2 620
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;4 129;18 747;3 900;9 105;161 160;0
