scenario,year,District,target_label,dest_id,distance_km,distance_miles,distance_minutes
baseline,1924,GRÓJECKI,Stołpce,Border_Crossing:Stołpce,490.4712314168764,304.7645995367359,
baseline,1924,GRÓJECKI,Zbąszyń,Border_Crossing:Zbąszyń,409.4729036818445,254.43458763369142,
baseline,1924,GRÓJECKI,Zebrzydowice,Border_Crossing:Zebrzydowice,446.7518415003407,277.5986385049082,
baseline,1924,HOROCHOWSKI,Gdynia,City:Gdynia,931.6821662025118,578.920279295421,
baseline,1924,HOROCHOWSKI,Stołpce,Border_Crossing:Stołpce,578.4752217593959,359.4477270198576,
baseline,1924,HOROCHOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,830.5475695806801,516.0781738579168,
baseline,1924,HOROCHOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,521.2041434529767,323.8611398215196,
baseline,1924,HORODEŃSKI,Gdynia,City:Gdynia,1052.6474668333128,654.0846091136824,
baseline,1924,HORODEŃSKI,Stołpce,Border_Crossing:Stołpce,720.1398628332147,447.47402670853745,
baseline,1924,HORODEŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,937.6992224301599,582.6591035406509,
baseline,1924,HORODEŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,614.0961683416153,381.58155021859784,
baseline,1924,HRUBIESZOWSKI,Gdynia,City:Gdynia,750.6655709921232,466.44181651294656,
baseline,1924,HRUBIESZOWSKI,Stołpce,Border_Crossing:Stołpce,482.5388510250027,299.83564840025696,
baseline,1924,HRUBIESZOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,679.6434094316062,422.3107049619266,
baseline,1924,HRUBIESZOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,527.0214798912817,327.4758639815256,
baseline,1924,INOWROCŁAWSKI,Gdynia,City:Gdynia,270.04203719652224,167.79629069484022,
baseline,1924,INOWROCŁAWSKI,Stołpce,Border_Crossing:Stołpce,710.429471866123,441.4402713629247,
baseline,1924,INOWROCŁAWSKI,Zbąszyń,Border_Crossing:Zbąszyń,181.1330576898611,112.55082918980668,
baseline,1924,INOWROCŁAWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,515.1202019855622,320.0807550279707,
baseline,1924,IWACEWICKI,Gdynia,City:Gdynia,784.4982609903019,487.4644689298049,
baseline,1924,IWACEWICKI,Stołpce,Border_Crossing:Stołpce,140.56990493298466,87.3460623981136,
baseline,1924,IWACEWICKI,Zbąszyń,Border_Crossing:Zbąszyń,715.0244744239288,444.29547269727107,
baseline,1924,IWACEWICKI,Zebrzydowice,Border_Crossing:Zebrzydowice,623.7419703016793,387.57517182832476,
baseline,1924,IŁŻECKI,Gdynia,City:Gdynia,625.5456513964118,388.69592695383983,
baseline,1924,IŁŻECKI,Stołpce,Border_Crossing:Stołpce,559.975021245389,347.95223892626865,
baseline,1924,IŁŻECKI,Zbąszyń,Border_Crossing:Zbąszyń,474.22142514245974,294.66744116219536,
baseline,1924,IŁŻECKI,Zebrzydowice,Border_Crossing:Zebrzydowice,300.59745787930547,186.78254299992193,
baseline,1924,JANOWSKI,Gdynia,City:Gdynia,648.729297016878,403.10157201667454,
baseline,1924,JANOWSKI,Stołpce,Border_Crossing:Stołpce,488.5523094889466,303.57223709945623,
baseline,1924,JANOWSKI,Zbąszyń,Border_Crossing:Zbąszyń,576.4618053858842,358.19664847443227,
baseline,1924,JANOWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,345.46452700219135,214.66163860787864,
baseline,1924,JAROCIŃSKI,Gdynia,City:Gdynia,340.2872113582529,211.44460480888895,
baseline,1924,JAROCIŃSKI,Stołpce,Border_Crossing:Stołpce,734.030217238624,456.105090115781,
baseline,1924,JAROCIŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,140.78884690267228,87.48210658876037,
baseline,1924,JAROCIŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,472.87819288866086,293.8327955934201,
baseline,1924,JAROSŁAWSKI,Gdynia,City:Gdynia,767.3284003548932,476.79561545692036,
baseline,1924,JAROSŁAWSKI,Stołpce,Border_Crossing:Stołpce,605.6531950412705,376.33533145598926,
baseline,1924,JAROSŁAWSKI,Zbąszyń,Border_Crossing:Zbąszyń,617.5667168638445,383.7380484244039,
baseline,1924,JAROSŁAWSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,309.3653217038523,192.23063931244442,
baseline,1924,JASIELSKI,Gdynia,City:Gdynia,822.4512584757907,511.0473609303606,
baseline,1924,JASIELSKI,Stołpce,Border_Crossing:Stołpce,679.2086671215031,422.04056869795556,
baseline,1924,JASIELSKI,Zbąszyń,Border_Crossing:Zbąszyń,671.1270322218387,417.0188751387161,
baseline,1924,JASIELSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,239.4965170515227,148.8161902968217,
baseline,1924,JAWOROWSKI,Gdynia,City:Gdynia,883.4144439225049,548.9281164345708,
