Stawiski;3017.0;2912.0;3153.0
Stawiszyn;2560.0;2562.0;2585.0
Stoczek (Łukowski);2951.0;3589.0;3583.0
Stolin;4763.0;6328.0;6328.0
Stołpce;2956.0;6278.0;6556.0
Strumień;1566.0;1984.0;2057.0
Stryj;27358.0;30682.0;34000.0
Stryków;4127.0;4821.0;4862.0
Strzelno;4927.0;5846.0;5996.0
Strzyżów;2905.0;3060.0;3600.0
Stęszew;2225.0;2487.0;3150.0
Sucha (Beskidzka);5151.0;6005.0;6250.0
Suchowola;2457.0;2836.0;3000.0
Sulejów;5718.0;6387.0;7048.0
Sulmierzyce;2526.0;2476.0;2408.0
Supraśl;2322.0;2965.0;3017.0
Suraż;1223.0;1379.0;1460.0
Suwałki;16780.0;21957.0;23066.0
Swarzędz;3364.0;4196.0;6379.0
Szadek;3058.0;3113.0;3150.0
Szamocin;1548.0;1937.0;2100.0
Szamotuły;6772.0;8307.0;9084.0
Szczakowa;3723.0;4558.0;5216.0
Szczekociny;5611.0;6142.0;6180.0
Szczerzec;936.0;1210.0;1214.0
Szczuczyn (Białostocki);4502.0;5107.0;5668.0
Szczuczyn (Nowogródzki);1539.0;2641.0;3524.0
Szereszów;2951.0;3554.0;
Szubin;2744.0;3271.0;3437.0
Szydłowiec;8296.0;10590.0;10568.0
Sądowa Wisznia;4309.0;4765.0;5465.0
Sędziszów;1935.0;2142.0;2507.0
Sępolno;3318.0;3992.0;4481.0
Słomniki;4797.0;4988.0;6095.0
Słonim;9643.0;16284.0;18500.0
Słupca;5534.0;6204.0;6204.0
Tarnobrzeg;3169.0;3643.0;5791.0
Tarnopol;32003.0;35831.0;40000.0
Tarnowskie Góry;14399.0;15773.0;17549.0
Tarnów;35347.0;45235.0;54977.0
Tczew;16251.0;22728.0;25398.0
Terespol;1919.0;2308.0;2570.0
Tomaszów Lubelski;7639.0;10433.0;11200.0
Tomaszów Mazowiecki;28285.0;38088.0;45204.0
Toruń;39424.0;54280.0;81215.0
Trembowla;7015.0;7840.0;8005.0
Troki;1886.0;2637.0;3000.0
Trzebinia;4801.0;6084.0;6340.0
Trzemeszno;5093.0;5218.0;5447.0
Tuchola;5583.0;5477.0;6000.0
Tuchów;2443.0;2750.0;2986.0
Tuliszków;2358.0;2559.0;2800.0
Turek;9948.0;9421.0;9879.0
Turka;10056.0;10145.0;10145.0
Tuszyn;3451.0;4202.0;4551.0
Tyczyn;3095.0;3039.0;3115.0
Tykocin;2993.0;3290.0;3400.0
Tyśmienica;7047.0;7257.0;7833.0
Tłumacz;5908.0;6836.0;2570.0
Uhnów;3575.0;3639.0;4282.0
Ujście;1872.0;2144.0;2167.0
Ulanów;2192.0;2504.0;
Uniejów;3657.0;3484.0;3951.0
Ustrzyki Dolne;3242.0;3964.0;4303.0
Uście Solne;1376.0;1333.0;
Uściług;3728.0;4771.0;5141.0
Wadowice;6862.0;8400.0;9000.0
Warka;4666.0;4763.0;6346.0
Warszawa;936713.0;1178211.0;1289000.0
Warta;4108.0;4360.0;4435.0
Wasilków;3903.0;4801.0;5574.0
Wejherowo;8786.0;12559.0;14566.0
Wieleń nad Notecią;2870.0;3403.0;4210.0
Wielichowo;1815.0;1630.0;1717.0
Wieliczka;7235.0;8668.0;11631.0
Wieluń;11032.0;13220.0;15535.0
Wieruszów;4799.0;5484.0;5800.0
Wierzbnik (dziś Starachowice);5459.0;7379.0;13206.0
Wilamowice;1774.0;1969.0;2112.0
Wilejka;3417.0;5595.0;6322.0
Wilno;128954.0;196383.0;208770.0
Winniki;3635.0;4414.0;6400.0
Witkowo;1605.0;1824.0;2576.0
Więcbork;2588.0;3433.0;4350.0
Wiśnicz Nowy;2691.0;2628.0;
Wodzisław;3561.0;4942.0;5200.0
Wojnicz;1910.0;2062.0;
Wolbrom;7392.0;8930.0;9946.0
Wolsztyn;4124.0;4580.0;4880.0
Wołkowysk;11100.0;15163.0;17000.0
Wołomin;6404.0;13114.0;14757.0
Wołożyn;4070.0;5609.0;6806.0
Woźniki;1800.0;2264.0;2485.0
Wronki;4621.0;5245.0;6289.0
Września;6627.0;8148.0;9629.0
Wyrzysk;1305.0;1642.0;1898.0
Wysoka;1328.0;1463.0;1509.0
Wysokie Litewskie;2100.0;2739.0;3816.0
Wysokie Mazowieckie;3525.0;3977.0;4265.0
Wyszków;9084.0;10772.0;11496.0
Wyszogród;4297.0;4553.0;4787.0
Wyśmierzyce;1424.0;1434.0;1500.0
Wąbrzeźno;7118.0;8591.0;9551.0
Wągrowiec;6867.0;7555.0;8945.0
Węgrów;8522.0;9416.0;10103.0
Władysławów;960.0;906.0;
Włocławek;43574.0;56277.0;66739.0
Włodawa;6263.0;8519.0;9293.0
Włodzimierz (dziś Ukraina);12138.0;24609.0;
Włoszczowa;6022.0;6900.0;7164.0
Zabłotów;5777.0;6541.0;7000.0
Zabłudów;2861.0;3158.0;3850.0
Zagórów;3715.0;3945.0;4389.0
Zakopane;8808.0;17703.0;23000.0
Zakroczym;5898.0;6114.0;6412.0
Zaleszczyki;4014.0;4114.0;5965.0
Zambrów;6160.0;7343.0;7536.0
Zamość;19023.0;24273.0;28000.0
Zaniemyśl;1291.0;1335.0;
Zator;1995.0;2179.0;2345.0
Zawichost;3014.0;3340.0;3613.0
Zawiercie;30031.0;32713.0;32872.0
Załoźce;4819.0;5891.0;6795.0
Zbaraż;7728.0;7673.0;8976.0
Zborów;3761.0;5182.0;5335.0
Zbąszyń;4770.0;5432.0;5961.0
Zdołbunów;7789.0;10228.0;10228.0
Zduny;2825.0;3403.0;3437.0
Zduńska Wola;18923.0;22904.0;26154.0
Zdzięcioł;3080.0;3746.0;3801.0
Zgierz;21129.0;26646.0;28134.0
Zwoleń;7817.0;8757.0;9500.0
Złoczew;4913.0;5069.0;5289.0
Złoczów;11130.0;13265.0;14000.0
Łabiszyn;1834.0;2464.0;2750.0
Łapy;4107.0;6674.0;7250.0
Łasin;2197.0;2510.0;2541.0
Łask;4890.0;6502.0;7420.0
Łańcut;7056.0;7535.0;8572.0
Łobżenica;1904.0;2294.0;2506.0
Łohiszyn;1984.0;2638.0;
Łomża;22014.0;25065.0;27262.0
Łopatyn;3399.0;3427.0;3600.0
Łosice;3888.0;5026.0;5091.0
Łowicz;16451.0;17613.0;19000.0
Łuck;23390.0;35737.0;42553.0
Łuków;12571.0;13971.0;14865.0
Łuniniec;8267.0;8715.0;9300.0
Łódź;451974.0;605467.0;672000.0
Łęczna;3590.0;4030.0;4240.0
Łęczyca;10267.0;10553.0;10987.0
