District;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
KRZEMIENIECKI;48008504,95;60033878,64;68962053,78;81076396,83;101327804,4;79035809,47;72610279,83;74016197,43;76098930,32;70255516,34;79351655,04;67664520,59;75257306,76;106121242,7;85761631,93
KUTNOWSKI;99394023,8;114020300,6;99498383,85;116450057,6;139151724,7;120294824,4;105328464,1;82361372,5;78040048,29;80690919,61;89417630,24;82928609,71;93879920,41;105230395,6;103187323,3
KĘPIŃSKI;37585313,75;42533018,2;49192733,09;69444169,86;89744120,1;68006320,29;60501283,83;53677025,26;45729228,01;47194268,17;52318392,56;42778539,48;52466651,74;62837370,83;59565059,72
LESKI;34622864,77;33416385,88;33875367,39;42887113,52;54827486,06;39111905,44;34946750,05;28760049,39;36558816,63;37383268,34;42628575,92;45700280,53;55437839,17;72172276,89;66453325,05
LESZCZYŃSKI;49065996,68;48618241,62;47443728,5;58014140,71;70491078,74;57901789,43;53411649,94;45879551,91;52081675,12;51633973,02;55248085,07;43039081,56;53684249,49;62562007,18;62006529,6
LIDZKI;44979506,72;53075845,53;59086067,57;64764713,42;87600849,42;69093204,25;69187702,51;69675656,77;69712454,88;63424545,76;74598030,84;71371848,6;89149080,4;120205050,5;96408071,84
LIMANOWSKI;22345160,56;23018519,89;22472785,36;26462820,22;31873409,81;23112569,3;21245503,57;14983860,19;24058892,5;23801000,09;24861534,35;24746285,4;25536380,86;35587403,61;34024423,3
LIPNOWSKI;52196568,34;60944899,06;60138315,89;73166046,62;86961829,24;71105357,52;68576344,04;54389214,25;55597670,98;57282863,76;65969478,19;58467731,82;62397320,17;66782204,01;58593679,16
LUBACZOWSKI;26729057,69;26623678,09;27594068,96;31698020,88;37395251,18;27420873,86;27693832,67;24072695,6;31874698,92;29485748,1;30555842,99;31416938,48;36157404;45087930,14;39344450,13
LUBARTOWSKI;31289898,17;38188046,68;40707994,57;46602830,07;52855168,39;39326147,41;36387776,91;37871568,07;40024012,95;40539584,38;44821176,98;41503914,33;44300044,88;59786333,7;53012895,23
LUBAWSKI;23643278,07;32645382,74;38590459,02;45871487,27;50256175,56;37717767,72;34505313,33;33326442,45;31320586,37;31222032,74;38152321,4;33463111,13;38288146,13;44407151,74;46283609,99
LUBELSKI;146833047,2;152959309,7;143761972,1;178253094,9;213760638,7;190443333,9;180707851,2;156751944,6;149386389,1;156656068,9;163830538;156065529,7;170820312,3;205172689,3;205966197,5
LUBLINIECKI;27932233,26;27346096,5;25341719,73;37061109,07;49729675,11;40379260,03;40350337,54;33805187,72;34858358,2;33451418,61;39561563,54;40032877,45;40534665,65;48109842,27;50879051,74
LUBOMELSKI;18822057,29;22103776,34;24532582,44;25641037,38;28466393,26;21792609,56;21376257,87;20838616,78;26329860,66;23434887,54;26419501,68;23372932,44;26053377,43;35793412,01;29457040,44
LWOWSKI;48888376,69;54390384,71;49971181,44;59272873,39;71723461,06;58097122,18;57438459,19;49916915,2;54498257,03;50047474,13;53228806,29;48077022,87;53025116,92;64266164,58;56065501,73
LWÓW (MIASTO);183039442,1;181379964,9;140229145,9;159141834,2;174480156,5;190006237,8;202373291;186823172;197368179,4;203365051,6;220386927,4;229354322,3;242337811,2;230280540;255712090,8
M. ST. WARSZAWA;1274350145;1253488792;1083706370;1203114258;1381796844;1524286043;1557903402;1457941832;1348503946;1450298389;1537765163;1630168021;1782692704;1764653972;2015506479
