scenario,District,log_change_ma_total,log_change_ma_total_no_self,log_change_ma_domestic,log_change_ma_domestic_no_self,log_change_ma_foreign
baseline,ŁOWICKI,0.8741039351125544,0.874182472452528,0.36179992289388885,0.5729930527694869,0.8742071084279956
baseline,ŁUCKI,1.0942036013765701,1.0942106930941335,0.8475657177371865,0.8481002175903463,1.094212543566222
baseline,ŁUKOWSKI,0.945147677825279,0.9451727171667983,0.5430773721838236,0.5701878823602691,0.9451828399226905
baseline,ŁUNINIECKI,1.0768495634697146,1.0768591788145194,0.6264276153902291,0.6674761807205574,1.076861468383271
baseline,ŁÓDZKI,0.8709799694149112,0.8710166335901022,0.8548564284444939,0.9348649831916624,0.8709905285309674
baseline,ŁÓDŹ (MIASTO),0.8532288462897171,0.8678312262430481,0.6636747003608399,0.8498142336048655,0.8678328052053885
baseline,ŁĘCZYCKI,0.8699033938798486,0.8699680898284257,0.6175429951346594,1.1236502077522097,0.8699506625546185
baseline,ŚNIATYŃSKI,0.9124068391689342,0.9124780712100602,0.4718363230754772,0.46742442933781625,0.9124816495983374
baseline,ŚREDZKI,0.824767855533306,0.8248131515886179,0.45057951434015386,0.47174597450330324,0.8248307215552124
baseline,ŚREMSKI,0.8223205464715022,0.822341818474456,0.5792674618609102,0.48840814900020035,0.8223503690535985
baseline,ŚWIECKI,0.8524763502708765,0.8524853283866385,0.7394231652443146,0.6929427675844053,0.8524899850681358
baseline,ŚWIĘCIAŃSKI,1.0055124553592805,1.0055327103104759,0.3115298703998093,0.43904180855264663,1.00553603435349
baseline,ŚWIĘTOCHŁOWICKI,0.8878007164096005,0.8871450346465757,0.9492612419119588,1.184131463879039,0.8869716347817409
baseline,ŻNIŃSKI,0.8416542386488217,0.8417107208260362,0.375621633796392,0.45143952472162674,0.8417241219052443
baseline,ŻYDACZOWSKI,0.9648510366531404,0.9648847363822135,0.4877011784440448,0.3902643035859903,0.9648983260847466
baseline,ŻYWIECKI,0.8982769086645952,0.8983480945500482,0.40696193829730554,0.39348726684596613,0.8983730886553261
baseline,ŻÓŁKIEWSKI,0.9832587572226181,0.9833192502608945,0.3485874780493212,0.351359479554592,0.9833515076833521
fixed14,AUGUSTOWSKI,0.9755588006221139,0.9755589906667765,0.6722965735649131,0.5492701052605953,0.9755590173821496
fixed14,BARANOWICKI,1.072569455274305,1.0725697040853888,0.6015283589208975,0.5594906245936886,1.0725697475063392
fixed14,BIALSKI (BIAŁA KRAKOWSKA),0.8966923039322197,0.8966977390857522,0.29200104739012467,0.5107714208609684,0.8966978889643613
fixed14,BIALSKI (BIAŁA PODLASKA),0.9726610804884288,0.9726615074536866,0.5960594538948056,0.589312591596534,0.9726615702956067
fixed14,BIAŁOSTOCKI,0.9757965827530128,0.9757977356202296,0.36063956427519805,0.5958984916311643,0.9757977900362214
fixed14,BIELSKI (BIELSK PODLASKI),0.9776531740589576,0.9776533162842895,0.6535872193926275,0.5575417366432314,0.9776533687199311
fixed14,BIELSKO,0.8973736747530836,0.8974037653692974,-0.03014510364737255,0.7265160508725481,0.8974038343625992
fixed14,BIŁGORAJSKI,0.9663619096135214,0.9663620071092609,0.8259081668551937,0.6381458518789564,0.9663620470930319
fixed14,BOCHEŃSKI,0.9169684675679122,0.9169691544363126,0.5358285359613131,0.5239771710051127,0.9169693400295884
fixed14,BORSZCZOWSKI,0.9798306286113458,0.9798308936980433,0.7948168829943407,0.6155366769933863,0.9798309052478977
fixed14,BRASŁAWSKI,0.9896174922724086,0.9896176368396183,0.6936527935338672,0.5683249886914945,0.9896176478422731
fixed14,BRODNICKI,0.8723992323241703,0.8723997733352427,0.6732963270748931,1.0373302547368226,0.8723997361772824
fixed14,BRODZKI,1.0542820024667705,1.0542827019917453,0.5444845538320191,0.5620754620315815,1.0542827593772834
fixed14,BRZESKI (BRZESKO),0.9223296984815974,0.9223310103585582,0.2823124488295914,0.5950678410867942,0.9223310482595366
fixed14,BRZESKI (BRZEŚĆ N.BUG.),0.9936012109194969,0.9936014761245069,0.505431282631652,0.5800175304949517,0.9936015435491825
fixed14,BRZEZIŃSKI,0.867648559204909,0.8676508777510712,0.41156727806415194,0.6879793956621256,0.867651052613823
fixed14,BRZEŻAŃSKI,0.9573921756648005,0.9573925136757886,0.6942774040770177,0.5267345810810551,0.957392565714116
fixed14,BRZOZOWSKI,0.9312531345005652,0.9312547356844831,0.3971545855055929,0.5700013122616161,0.9312547667679318
fixed14,BUCZACKI,0.9683552258425188,0.9683553491758907,0.8542357819184296,0.525417292791639,0.9683553959540596
fixed14,BYDGOSKI,0.8500434164346125,0.8500455377076044,0.3340209636184328,0.7364496228152975,0.8500455719108615
fixed14,BÓBRECKI,0.9598103234830191,0.9598117167771001,0.2809083453990695,0.44412096138271684,0.9598117705666489
fixed14,BĘDZIŃSKI,0.8897436320329319,0.8897409891466133,1.2276324787371156,1.395344115359899,0.8897407824951493
fixed14,BŁOŃSKI,0.8980725961387321,0.8980738009912947,0.9785894038699139,2.465880333805388,0.8980720871061045
fixed14,CHEŁMIŃSKI,0.8685657559161051,0.8685664086431579,0.649245102481931,0.8690982684571074,0.8685664085299933
fixed14,CHEŁMSKI,0.9880738085745975,0.9880745824993902,0.400164802418697,0.5855616584666201,0.9880746533385398
fixed14,CHODZIESKI,0.835248474257476,0.8352490840126308,0.5274790221297749,0.5645460184388549,0.8352491410203235
fixed14,CHOJNICKI,0.855738706237851,0.8557386915423706,0.858918363137442,0.740094284717681,0.8557387028236114
fixed14,CHORZÓW,0.8866394654105356,0.8870757577965094,0.1286121151909949,1.3498656878913096,0.8870714310535277
fixed14,CHRZANOWSKI,0.8910997539682093,0.8911009601490534,0.7234868257266562,0.5628989178581181,0.8911011981592587
fixed14,CIECHANOWSKI,0.8961708597485973,0.896172837016266,0.12847224434648652,0.6133973594699222,0.8961729562632677
fixed14,CIESZYŃSKI,0.9003514003634798,0.9003554930398963,0.3572168306851484,0.8027708075359525,0.900355530843111
