year,District,weighted_distance_to_center_km,weighted_distance_to_center_miles
1929,TARNOWSKI,291.5935415459992,181.18777050397907
1929,TCZEWSKI,453.16009371013706,281.5805405887616
1929,TOMASZOWSKI,267.11883194353663,165.9798957235873
1929,TORUŃSKI,364.5926120042718,226.5472759137064
1929,TREMBOWELSKI,476.6585209340825,296.1817818113318
1929,TUCHOLSKI,425.12724798160394,264.16174320557724
1929,TURCZAŃSKI,381.6391685870147,237.13951182408192
1929,TURECKI,419.6734741050739,260.77292627814387
1929,TŁUMACKI,467.5043952906296,290.4936736061338
1929,WADOWICKI,337.5878471386943,209.76729816441764
1929,WARSZAWSKI,140.17521152528087,87.10081136067531
1929,WIELUŃSKI,405.27888687060045,251.82854721367187
1929,WILEJSKI,496.0718446943229,308.2446582095561
1929,WILEŃSKO-TROCKI,453.3511957676386,281.69928586533337
1929,WILNO (MIASTO),440.67044511648646,273.8198351524763
1929,WOLSZTYŃSKI,484.53379783626895,301.0752504953203
1929,WOŁKOWYSKI,248.61765203433865,154.48379906222905
1929,WOŁOŻYŃSKI,456.0042606487973,283.34782344360383
1929,WRZESIŃSKI,379.99342877795067,236.116896833184
