scenario,District,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,PUŁTUSKI,0.004966959499284061,0.005331049289702058,1.0733023473355234,0.07330234733552332
baseline,PŁOCKI,0.004901366783861468,0.005580339139560106,1.1385271467408362,0.13852714674083622
baseline,PŁOŃSKI,0.004966749767483236,0.005612309219199498,1.129976238372762,0.12997623837276215
baseline,RADOMSKI,0.005657758967762709,0.006044447057044828,1.068346511663969,0.0683465116639689
baseline,RADOMSZCZAŃSKI,0.005212525385645138,0.0054455907747780075,1.044712566729116,0.044712566729116
baseline,RADZIECHOWSKI,0.004548886824146346,0.004720389638787017,1.0377021502778003,0.037702150277800314
baseline,RADZYMIŃSKI,0.0059908850518160415,0.006381030838792414,1.0651232303076998,0.0651232303076999
baseline,RADZYŃSKI,0.005488393677888702,0.005565866979487985,1.0141158426574615,0.014115842657461374
baseline,RAWICKI,0.004943233603334024,0.005175030589758116,1.0468917726784657,0.046891772678465705
baseline,RAWSKI (RAWA MAZOWIECKA),0.00527118451514075,0.0055723866251935926,1.057141257185682,0.05714125718568203
