scenario,year,District,avg_inverse_distance
baseline,1938,KOŁOMYJSKI,0.004477146027893911
baseline,1938,KOŚCIAŃSKI,0.0054773755143073775
baseline,1938,KOŚCIERSKI,0.0042650326922353465
baseline,1938,KRAKOWSKI,0.006810436719995931
baseline,1938,KRAKÓW (MIASTO),0.006818486261830371
baseline,1938,KRASNOSTAWSKI,0.005445324469943222
baseline,1938,KROTOSZYŃSKI,0.005535196831689114
baseline,1938,KROŚNIEŃSKI,0.005367011119916932
baseline,1938,KRZEMIENIECKI,0.0038937726604829407
baseline,1938,KUTNOWSKI,0.006657132381127129
baseline,1938,KĘPIŃSKI,0.005059882922721247
baseline,1938,LESKI,0.004234059394791286
baseline,1938,LESZCZYŃSKI,0.005238163345219459
baseline,1938,LIDZKI,0.0037377947294274377
baseline,1938,LIMANOWSKI,0.005152410085066135
baseline,1938,LIPNOWSKI,0.005637018634976428
baseline,1938,LUBACZOWSKI,0.004635079367644429
baseline,1938,LUBARTOWSKI,0.005714027998444989
baseline,1938,LUBAWSKI,0.004840492113408656
baseline,1938,LUBELSKI,0.00609921535766634
baseline,1938,LUBLINIECKI,0.0057356161999258274
baseline,1938,LUBOMELSKI,0.004827972110464603
baseline,1938,LWOWSKI,0.007012594659001582
baseline,1938,LWÓW (MIASTO),0.007402150824727684
baseline,1938,M. ST. WARSZAWA,0.007314702207326743
baseline,1938,MAKOWSKI (MAKÓW MAZOWIECKI),0.004396837541097011
baseline,1938,MIECHOWSKI,0.005700564771295315
baseline,1938,MIELECKI,0.005974869322068286
baseline,1938,MIĘDZYCHODZKI,0.004260764289643881
baseline,1938,MIŃSKI,0.006251302208516758
baseline,1938,MOGILEŃSKI,0.0057467266961228735
baseline,1938,MORSKI,0.003471345982248138
baseline,1938,MOŁODECZAŃSKI,0.0030964602585457934
baseline,1938,MOŚCISKI,0.0054649434627762035
baseline,1938,MYŚLENICKI,0.00503211644263874
baseline,1938,MŁAWSKI,0.0052190548190485285
baseline,1938,NADWÓRNIAŃSKI,0.004256764392330379
baseline,1938,NIESZAWSKI,0.00597321021053751
baseline,1938,NIEŚWIESKI,0.0035349344815525045
baseline,1938,NIŻAŃSKI,0.00589524956396882
baseline,1938,NOWOGRÓDZKI,0.0035557620156886137
baseline,1938,NOWOSĄDECKI,0.005330248174722919
baseline,1938,NOWOTARSKI,0.004982829998926474
baseline,1938,NOWOTOMYSKI,0.004605968368597829
baseline,1938,OBORNICKI,0.005562249772595093
baseline,1938,OLKUSKI,0.005687743554034476
baseline,1938,OPATOWSKI,0.005821101843913524
baseline,1938,OPOCZYŃSKI,0.006088933954221189
baseline,1938,OSTROWSKI (OSTRÓW MAZOWIECKA),0.005245092703312334
baseline,1938,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.005644099500516854
baseline,1938,OSTROŁĘCKI,0.004844368958896282
baseline,1938,OSZMIAŃSKI,0.0026706293279801
baseline,1938,PIOTRKOWSKI,0.00568850396548282
baseline,1938,PIŃCZOWSKI,0.005167054596188424
baseline,1938,PIŃSKI,0.0037392996279228532
baseline,1938,PODHAJECKI,0.004803417515029711
baseline,1938,POSTAWSKI,0.0026337952264386573
baseline,1938,POZNAŃ (MIASTO),0.00689566095462664
baseline,1938,POZNAŃSKI,0.006756575659916905
baseline,1938,PRUŻAŃSKI,0.004259521127963326
baseline,1938,PRZASNYCKI,0.004153520389036004
baseline,1938,PRZEMYSKI,0.006094440843671425
baseline,1938,PRZEMYŚLAŃSKI,0.005261758948618986
baseline,1938,PRZEWORSKI,0.006009513820682243
baseline,1938,PSZCZYŃSKI,0.00613923781475952
baseline,1938,PUŁAWSKI,0.005411601709553224
baseline,1938,PUŁTUSKI,0.005331049289702058
baseline,1938,PŁOCKI,0.005580339139560106
baseline,1938,PŁOŃSKI,0.005612309219199498
baseline,1938,RADOMSKI,0.006044447057044828
baseline,1938,RADOMSZCZAŃSKI,0.0054455907747780075
baseline,1938,RADZIECHOWSKI,0.004720389638787017
baseline,1938,RADZYMIŃSKI,0.006381030838792414
baseline,1938,RADZYŃSKI,0.005565866979487985
baseline,1938,RAWICKI,0.005175030589758116
baseline,1938,RAWSKI (RAWA MAZOWIECKA),0.0055723866251935926
baseline,1938,RAWSKI (RAWA RUSKA),0.005391251124594347
baseline,1938,ROHATYŃSKI,0.005010623932330628
baseline,1938,ROPCZYCKI,0.0061377447443196585
baseline,1938,RUDECKI,0.005518108412808613
baseline,1938,RYBNICKI,0.005283579404711025
baseline,1938,RYPIŃSKI,0.005758570140979447
baseline,1938,RZESZOWSKI,0.005805110760378525
baseline,1938,RÓWIEŃSKI,0.0042043414201378675
baseline,1938,SAMBORSKI,0.00592446917184974
baseline,1938,SANDOMIERSKI,0.004964429011624074
baseline,1938,SANOCKI,0.004775350447004586
baseline,1938,SARNEŃSKI,0.003925205702224708
baseline,1938,SIEDLECKI,0.005866558377440387
baseline,1938,SIERADZKI,0.0059653821773964
baseline,1938,SIERPECKI,0.0055904230811995755
baseline,1938,SKAŁACKI,0.0039997363290427594
baseline,1938,SKIERNIEWICKI,0.006589409781166915
baseline,1938,SOCHACZEWSKI,0.005839190760083539
baseline,1938,SOKALSKI,0.005170068998126828
baseline,1938,SOKOŁOWSKI,0.0055939825146129
baseline,1938,SOKÓLSKI,0.004431172582183899
baseline,1938,STANISŁAWOWSKI,0.005102835211071846
baseline,1938,STAROGARDZKI,0.004474502495213309
baseline,1938,STOLIŃSKI,0.0035553780150814128
baseline,1938,STOPNICKI,0.004861907781046872
baseline,1938,STOŁPECKI,0.0032775207604854484
baseline,1938,STRYJSKI,0.004965662987078902
baseline,1938,SUWALSKI,0.003374004345075537
baseline,1938,SZAMOTULSKI,0.0048322825599318425
baseline,1938,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0038617128884285627
baseline,1938,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0038275185453996506
baseline,1938,SZUBIŃSKI,0.005918793995994689
baseline,1938,SĘPOLEŃSKI,0.005055587338784063
baseline,1938,SŁONIMSKI,0.0039603136903962315
