District,weighted_distance_to_center_km_1924,weighted_distance_to_center_km_1929,weighted_distance_to_center_km_1931,weighted_distance_to_center_km_1938,weighted_distance_to_center_miles_1924,weighted_distance_to_center_miles_1929,weighted_distance_to_center_miles_1931,weighted_distance_to_center_miles_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924
GRUDZIĄDZKI,356.1614063374841,356.4130975287563,356.49854156025975,355.40452805092013,221.30836921732885,221.46476282454083,221.51785526784016,220.8380669995283,0.9978749008929767,-0.002125099107023329,0.9978749008929767,-0.002125099107023339
GRÓDECKI,348.19645403385863,348.1651773701231,348.15386287595527,348.09939589050043,216.35917883947278,216.33974442765077,216.3327139290952,216.29886972387615,0.9997212546473871,-0.00027874535261280696,0.9997212546473873,-0.00027874535261279676
GRÓJECKI,178.45768735389396,335.79818292195915,335.76215581729394,139.6621347911766,110.88843164877645,208.65525272040068,208.63286652234777,86.7820003573282,0.7826064366407312,-0.2173935633592689,0.782606436640731,-0.21739356335926893
HOROCHOWSKI,419.8603782583105,419.7534967622271,364.9864558217078,364.849664623167,260.88906309874466,260.8226500366418,226.7919990403904,226.7070009565619,0.8689785545772568,-0.13102144542274316,0.8689785545772569,-0.1310214454227431
HORODEŃSKI,540.8256788891115,540.7791512963328,540.7621596442394,540.7346337218637,336.0533929170061,336.0244820201536,336.0139239003007,335.99682009038816,0.9998316552434514,-0.0001683447565485371,0.9998316552434514,-0.0001683447565485378
HRUBIESZOWSKI,238.84378304792182,238.8586908876318,238.86381418664848,238.83758980113285,148.41060031627023,148.41986361553867,148.42304708497196,148.4067520123197,0.9999740698848849,-2.593011511513775e-05,0.9999740698848848,-2.5930115115217984e-05
INOWROCŁAWSKI,398.41592780314056,398.16906473148487,398.0766248765838,362.4333779040989,247.56410347496526,247.41070992126748,247.35327047618776,225.20559046164783,0.9096859653743039,-0.09031403462569605,0.9096859653743039,-0.09031403462569614
IWACEWICKI,270.928187096353,270.82000590705513,270.78944022300766,270.7495382394083,168.34691854424796,168.27969789047276,168.26070526081048,168.23591132535938,0.9993406043909299,-0.0006593956090701677,0.9993406043909299,-0.0006593956090701885
IŁŻECKI,173.66676386607682,173.54678723789056,173.50355803275545,172.5616377534931,107.91149073022802,107.8369407327953,107.81007935837128,107.22479741252576,0.9936365134699238,-0.006363486530076285,0.9936365134699237,-0.0063634865300763455
JANOWSKI,136.90750907267673,136.84884443313686,136.8276605356879,136.7684764842935,85.07035581999821,85.03390331426269,85.02074025472092,84.98396500152194,0.9989844779930265,-0.0010155220069735225,0.9989844779930265,-0.0010155220069735069
JAROCIŃSKI,421.4670701770849,421.27765401721723,421.2022261095098,416.96395372480373,261.8874148630054,261.7697171543323,261.72284843989223,259.089308889935,0.9893156149770156,-0.010684385022984437,0.9893156149770156,-0.01068438502298438
JAROSŁAWSKI,255.50661241069193,255.54192529055697,255.55536805953088,256.4577866519379,158.76439926024406,158.7863416597187,158.79469460651876,159.35543134970132,1.003722699120276,0.003722699120275984,1.003722699120276,0.003722699120275998
JASIELSKI,327.56386670523375,327.5824094494928,327.58941270744657,327.4324920779534,203.5386874184978,203.55020934204077,203.55456096343877,203.45705503496998,0.9995989343128662,-0.00040106568713388086,0.9995989343128662,-0.00040106568713383327
JAWOROWSKI,371.5926559783034,371.5957181296645,371.59685883310465,371.6332325072608,230.89690023789439,230.89880296994775,230.89951176998508,230.92211331626916,1.000109196261833,0.00010919626183289537,1.000109196261833,0.00010919626183287327
JĘDRZEJOWSKI,184.31642404916985,184.3940378153024,184.42344883381324,184.50155490328075,114.52888072785672,114.57710767133227,114.59538282531537,114.64391567180647,1.0010044186515983,0.0010044186515983393,1.0010044186515985,0.0010044186515984345
KALISKI,380.3771032750252,379.8691000247398,379.67711823153735,377.67963197594634,236.35530103910568,236.03964255147258,235.9203506326486,234.67917060052577,0.9929084288306163,-0.00709157116938374,0.9929084288306164,-0.00709157116938366
KAMIONECKI,363.80157734137157,363.7691420877002,366.3886959259642,366.238677607163,226.05574991418538,226.03559558817634,227.6633103762123,227.5700933434405,1.006698982130868,0.006698982130868046,1.006698982130868,0.00669898213086812
KARTUSKI,520.9665182949642,497.1009456669681,491.4507465438056,490.25593556686135,323.7134864394602,308.88411171002963,305.373241830671,304.63082093911623,0.9410507553755788,-0.05894924462442121,0.9410507553755788,-0.05894924462442115
KATOWICE,301.6099656593033,301.5871134499138,301.5787113411113,301.5284345559262,187.41168597168698,187.39748627148637,187.39226544473766,187.36102490845042,0.9997296803399751,-0.00027031966002485436,0.9997296803399751,-0.0002703196600249052
KAŁUSKI,444.2384297414075,444.4393142005453,444.51029777681526,444.69558677939966,276.0368773268481,276.16170110410707,276.20580823987746,276.32094145270236,1.0010290803482675,0.0010290803482676167,1.0010290803482678,0.0010290803482676562
KIELECKI,153.33832448531902,153.2958049810134,153.28093785718823,153.24516786099758,95.27998802376716,95.25356763685727,95.24432963725891,95.22210319895593,0.9993924765733934,-0.0006075234266066127,0.9993924765733935,-0.0006075234266064983
KOBRYŃSKI,192.05795358266084,192.2714811831245,192.33487706532,192.55980798029054,119.33924267561156,119.47192253423925,119.51131489695496,119.65108044452111,1.0026130362646695,0.0026130362646694756,1.0026130362646695,0.002613036264669402
KOLBUSZOWSKI,258.27827323674484,258.2753743737801,258.27424124485543,228.14658479217772,160.48662891938937,160.48482765001012,160.48412355655708,141.76367153890027,0.8833363408119598,-0.11666365918804017,0.8833363408119599,-0.11666365918804013
KOLSKI,300.58313736662257,300.5697055416198,300.5645640996112,289.345613830631,186.77364464863564,186.7652985021018,186.7621037591395,179.790973411553,0.9626142582899283,-0.03738574171007171,0.9626142582899282,-0.03738574171007181
