scenario,District,avg_distance_km_1924,avg_distance_km_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,avg_distance_miles_1924,avg_distance_miles_1938,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924,avg_distance_minutes_1924,avg_distance_minutes_1938,change_ratio_minutes_1938_vs_1924,proportional_change_minutes_1938_vs_1924
fixed14,BRZEZIŃSKI,,,,,,,,,1641.6872077929256,1571.8079032178625,0.9574344587425955,-0.042565541257404575
fixed14,BRZEŻAŃSKI,,,,,,,,,2261.8997171366136,2225.3990884583613,0.9838628439617743,-0.016137156038225773
fixed14,BRZOZOWSKI,,,,,,,,,1979.1119377739637,1934.6657615605889,0.9775423636404486,-0.022457636359551444
fixed14,BUCZACKI,,,,,,,,,2511.335605331393,2473.4772840328865,0.9849250250670856,-0.015074974932914468
fixed14,BYDGOSKI,,,,,,,,,2196.133813906677,2035.3814641926708,0.9268021152918521,-0.07319788470814795
fixed14,BÓBRECKI,,,,,,,,,2231.3238992093334,2208.6627413373717,0.9898440751340531,-0.010155924865946906
fixed14,BĘDZIŃSKI,,,,,,,,,1947.449246111368,1776.1875108779293,0.9120584346034121,-0.0879415653965879
fixed14,BŁOŃSKI,,,,,,,,,1760.4784662519025,1557.5131639017386,0.884710147700766,-0.11528985229923405
fixed14,CHEŁMIŃSKI,,,,,,,,,2220.4971783668275,2082.341854976879,0.9377818063738493,-0.06221819362615069
fixed14,CHEŁMSKI,,,,,,,,,1669.37735958499,1649.5533983915523,0.9881249370733254,-0.011875062926674663
fixed14,CHODZIESKI,,,,,,,,,2453.7151015981717,2272.9120357058564,0.9263145644844614,-0.07368543551553859
fixed14,CHOJNICKI,,,,,,,,,2562.509877337055,2444.8349050027496,0.9540782365855336,-0.045921763414466375
fixed14,CHORZÓW,,,,,,,,,1894.804226508876,1732.551086996178,0.9143694439548276,-0.08563055604517249
fixed14,CHRZANOWSKI,,,,,,,,,1868.6991204673873,1747.6460685102027,0.9352206833987766,-0.06477931660122341
fixed14,CIECHANOWSKI,,,,,,,,,1802.8875085813756,1743.9634576897731,0.9673168455540703,-0.03268315444592971
fixed14,CIESZYŃSKI,,,,,,,,,2129.805950434358,1974.6525608771972,0.9271513963394091,-0.07284860366059089
fixed14,CZARNKOWSKI,,,,,,,,,2544.759076684094,2387.8462983888116,0.9383388471887307,-0.06166115281126924
fixed14,CZORTKOWSKI,,,,,,,,,2530.710265316701,2492.8114484938333,0.9850244347042528,-0.01497556529574719
fixed14,CZĘSTOCHOWSKI,,,,,,,,,1877.1199338236206,1804.6894643266673,0.9614140427620865,-0.03858595723791351
fixed14,DOBROMILSKI,,,,,,,,,2031.2393273655546,1994.055528129548,0.9816940334233127,-0.018305966576687236
