District,year,rural_pop,city_pop_sum,pop_total,MA_district
DROHICKI,1913,34583.19999999995,1334.2,35917.39999999995,9013.541477195677
OSTROWSKI (OSTRÓW WIELKOPOLSKI),1913,78612.19999999995,19388.4,98000.59999999995,13055.174055974521
TOMASZOWSKI,1913,73580.40000000002,5403.8,78984.20000000003,9769.94702118533
KĘPIŃSKI,1913,76965.19999999995,13028.6,89993.79999999996,11334.698659698528
BOCHEŃSKI,1913,90460.40000000002,17734.4,108194.80000000002,14380.31456234301
GNIEŹNIEŃSKI,1913,57420.19999999995,27892.2,85312.39999999995,12805.227231829995
LUBLINIECKI,1913,22053.53972179623,6139.2,28192.73972179623,12492.907170941719
ZŁOCZOWSKI,1913,83496.80000000005,16107.8,99604.60000000005,12087.158242972258
BRASŁAWSKI,1913,108443.40000000002,292.5999999999999,108736.00000000003,4968.660540301456
ŁUKOWSKI,1913,87792.0,17347.4,105139.4,12633.727199878938
SŁONIMSKI,1913,37038.0,4330.2,41368.2,9441.685134811945
PRZASNYCKI,1913,39032.99999999994,7372.6,46405.59999999994,9169.45004037115
ŻNIŃSKI,1913,33819.59999999998,8442.0,42261.59999999998,12126.187692857084
TARNOBRZESKI,1913,63269.79999999999,6778.2,70047.99999999999,12319.94889672363
AUGUSTOWSKI,1913,46436.40000000002,6054.0,52490.40000000002,8235.934810714165
HRUBIESZOWSKI,1913,72233.40000000002,10659.0,82892.40000000002,8066.759302339385
PUŁTUSKI,1913,67838.59999999998,29243.600000000002,97082.19999999998,11955.2906370748
SOCHACZEWSKI,1913,51762.59999999998,1143.3999999999996,52905.99999999998,15216.79052085921
NOWOGRÓDZKI,1913,71645.92367502768,6354.2,78000.12367502767,8094.509478976644
TUCHOLSKI,1913,33712.79999999999,5667.8,39380.59999999999,10373.66709977748
POSTAWSKI,1913,75605.09999999989,-359.5999999999999,75245.49999999988,6271.824906113337
INOWROCŁAWSKI,1913,47435.99999999994,21904.6,69340.59999999995,11979.204720025413
BIAŁOSTOCKI,1913,69639.59999999998,83295.2,152934.8,11185.358748118419
DĄBROWSKI,1913,54598.79999999999,6749.4,61348.19999999999,13280.400853179295
ROHATYŃSKI,1913,83346.19999999995,9936.2,93282.39999999995,10862.99489952523
ŚWIĘCIAŃSKI,1913,104344.60000000003,5646.4,109991.00000000003,7003.610438233203
ŚREMSKI,1913,44355.79999999999,12789.0,57144.79999999999,10699.506586889982
SKAŁACKI,1913,64360.40000000002,11469.8,75830.20000000003,9681.563704194727
ŁUNINIECKI,1913,51637.79999999993,7908.6,59546.39999999993,8688.32297524671
MAKOWSKI (MAKÓW MAZOWIECKI),1913,43819.19999999995,8339.0,52158.19999999995,9633.103548505715
ZALESZCZYCKI,1913,54171.19999999995,3934.0,58105.19999999995,9021.070294638022
OPOCZYŃSKI,1913,100942.59999999998,7716.8,108659.39999999998,15034.57671294103
KALISKI,1913,124727.80000000005,43239.4,167967.20000000004,12289.485377854082
WIELUŃSKI,1913,137006.3999999999,18004.2,155010.59999999992,8784.894477784981
NOWOTARSKI,1913,76583.19999999995,9986.8,86569.99999999996,12925.806770318131
M. ST. WARSZAWA,1913,1.0,743514.6,743515.6,14373.33582880496
TCZEWSKI,1913,34310.79999999999,16947.6,51258.39999999999,9093.782760997217
CHORZÓW,1913,25091.53092395245,70072.6,95164.13092395246,20922.098654075264
PODHAJECKI,1913,63942.40000000002,4070.8,68013.20000000003,11280.577121626337
POZNAŃ (MIASTO),1913,1.0,107601.2,107602.2,12945.415075466304
OSTROŁĘCKI,1913,72525.19999999995,5710.6,78235.79999999996,10951.153156809869
