District,MA_1913,MA_1939,delta,pct_change,log_change,from_year,to_year
TCZEWSKI,9093.782760997217,19645.157369386216,10551.374608388998,1.160284436708046,0.7702398966876736,1913,1939
TOMASZOWSKI,9769.94702118533,24149.901717503126,14379.954696317796,1.4718559542990395,0.9049692669830005,1913,1939
TORUŃSKI,13102.44030923805,29234.329393397584,16131.889084159533,1.23121256066975,0.8025451868732691,1913,1939
TREMBOWELSKI,10942.80170511967,22607.864831032097,11665.063125912427,1.0660033362804007,0.7256159855462876,1913,1939
TUCHOLSKI,10373.66709977748,22916.541039752836,12542.873939975356,1.2091070418332976,0.7925883804089668,1913,1939
TURCZAŃSKI,11602.887540475816,24979.03371903082,13376.146178555004,1.1528290808553736,0.7667828287262459,1913,1939
TURECKI,9728.665634694931,21221.902866608518,11493.237231913587,1.1813785840193471,0.7799570549248198,1913,1939
TŁUMACKI,11180.745237998879,23511.135431008322,12330.390193009443,1.1028236428376328,0.7432810334027238,1913,1939
WADOWICKI,14749.828017374753,30147.772090848117,15397.944073473363,1.04394058394004,0.7148796033964739,1913,1939
WARSZAWSKI,16966.386219916367,51442.012803826314,34475.62658390995,2.0319958615253007,1.109221102846906,1913,1939
WIELUŃSKI,8784.894477784981,26404.932855365583,17620.038377580604,2.0057199801474797,1.1005171333481591,1913,1939
WILEJSKI,6453.456400776013,13740.52315039906,7287.066749623047,1.1291726939918263,0.7557334976953562,1913,1939
WILEŃSKO-TROCKI,7795.90376544901,18065.240506950515,10269.336741501505,1.3172734105588377,0.8403912404561158,1913,1939
WILNO (MIASTO),8664.746641248337,19893.553727218776,11228.807085970438,1.2959186864756025,0.8311330625320998,1913,1939
WOLSZTYŃSKI,11012.179199656015,23130.6892907103,12118.510091054284,1.1004643015101703,0.7421584162484915,1913,1939
WOŁKOWYSKI,10114.49461531619,23150.616362380082,13036.121747063891,1.2888554735422502,0.8280518994148984,1913,1939
WOŁOŻYŃSKI,6118.4416705170615,14278.162700805953,8159.721030288892,1.3336273302413164,0.847423851124887,1913,1939
WRZESIŃSKI,12075.782012014273,27379.857308189086,15304.075296174813,1.2673361676244808,0.8186056479710153,1913,1939
WYRZYSKI,11374.554842639758,24605.632708528778,13231.07786588902,1.163217202689086,0.7715965592614253,1913,1939
WYSOKOMAZOWIECKI,10531.308875361568,23499.384136386052,12968.075261024484,1.2313830516702273,0.8026215957686169,1913,1939
WĄBRZESKI,12230.127003983998,26763.36256208803,14533.235558104032,1.18831436119754,0.7831315493754385,1913,1939
WĄGROWIECKI,11202.267703616862,24312.95219601595,13110.684492399088,1.1703598627772531,0.7748929891844245,1913,1939
WĘGROWSKI,10861.312127337458,23585.464046088568,12724.15191875111,1.1715114867866618,0.7754234627722845,1913,1939
WŁOCŁAWSKI,12215.883358299301,29435.494025796106,17219.610667496803,1.4096083076790378,0.8794642063594598,1913,1939
WŁODAWSKI,10225.76015707515,23945.298024352054,13719.537867276904,1.341664351259444,0.8508619377652078,1913,1939
WŁODZIMIERSKI,9907.01091618239,26805.462455402016,16898.451539219626,1.705706361100018,0.9953630098546196,1913,1939
WŁOSZCZOWSKI,12530.938477629052,27348.665347278242,14817.72686964919,1.1824913908964314,0.7804670641173939,1913,1939
ZALESZCZYCKI,9021.070294638022,18487.563597377626,9466.493302739604,1.049375849378574,0.71753528307406,1913,1939
ZAMOJSKI,8061.328144265663,29866.815878863745,21805.487734598082,2.704949773085366,1.3096697021339914,1913,1939
ZBARASKI,10200.625730053289,21311.082490260746,11110.456760207457,1.089193648922301,0.7367781776186089,1913,1939
ZBOROWSKI,9959.150600505274,19995.44434277058,10036.293742265307,1.0077459559408726,0.6970126778599628,1913,1939
ZDOŁBUNOWSKI,9654.431170623708,20008.9475581775,10354.516387553793,1.0725143930861805,0.7287625527974946,1913,1939
ZŁOCZOWSKI,12087.158242972258,25145.24408329203,13058.08584031977,1.080327201632528,0.7325251898187233,1913,1939
ŁASKI,13428.467050805997,26677.666115572454,13249.199064766457,0.986650152592899,0.6864498799213603,1913,1939
ŁAŃCUCKI,12137.038197614811,28214.669938553998,16077.631740939187,1.3246750549156863,0.8435802679452085,1913,1939
ŁOMŻYŃSKI,10347.787666005814,24547.078757050902,14199.291091045088,1.3722054944838202,0.8638201108079038,1913,1939
ŁOWICKI,16522.36427320094,36466.39218170344,19944.027908502503,1.2070928578212898,0.7916762006175464,1913,1939
ŁUCKI,10228.349045601533,23460.799765480097,13232.450719878563,1.2937034765712139,0.8301677499212978,1913,1939
ŁUKOWSKI,12633.727199878938,28569.084770766603,15935.357570887665,1.2613346258608749,0.815955181398957,1913,1939
ŁUNINIECKI,8688.32297524671,18608.59858384827,9920.27560860156,1.1417940650761618,0.761643825982647,1913,1939
ŁÓDZKI,17081.32880709876,38012.3065921473,20930.977785048544,1.2253717507240962,0.7999239806391891,1913,1939
