District,year,rural_pop,city_pop_sum,pop_total,dist_makoszowy_min,dist_zbaszyn_min,dist_gdansk_min
PIŃSKI,1913,77690.19999999995,18172.8,95862.99999999996,3164.4718811892817,4133.017222746075,3737.065801677429
DOLIŃSKI,1913,58704.40000000002,18689.8,77394.20000000003,2507.823463463387,4846.414467293766,5123.209784273327
NADWÓRNIAŃSKI,1913,74796.0,7638.200000000001,82434.2,3011.8359323976883,5350.4269362280675,5627.222253207629
ZBARASKI,1913,57466.79999999999,7772.0,65238.79999999999,2937.2705255161395,5275.861529346519,5340.346068120941
BŁOŃSKI,1913,58855.39999999991,34154.6,93009.99999999991,1534.8110369097592,1987.1956779971122,1921.7037208495444
SKIERNIEWICKI,1913,46247.79999999999,13811.8,60059.59999999999,1417.0789176365686,1875.4024694182979,1811.6540015309358
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),1913,37958.20000000001,12190.2,50148.40000000001,3136.6824919550168,3543.0573719488907,3147.1059508802446
LWOWSKI,1913,96779.59999999998,5551.0,102330.59999999998,2206.0823379863887,4544.673341816768,4821.4686587963315
MOŚCISKI,1913,71088.79999999993,8680.0,79768.79999999993,1992.9019469946863,4331.492950825066,4608.28826780463
TORUŃSKI,1913,36785.59999999998,40008.4,76793.99999999997,2267.253097964886,1176.6703434121896,870.5761869317588
SIERADZKI,1913,109595.80000000005,35728.4,145324.20000000004,1601.98334838938,1215.2607354312672,2086.2932366677715
CZARNKOWSKI,1913,37607.20000000001,5800.0,43407.20000000001,2967.3562340182,905.0595058078782,1516.7935544772247
RADOMSKI,1913,114276.0,51235.0,165511.0,1324.4566384343389,2445.3734677056277,2611.7536930769843
KOWELSKI,1913,84663.99999999977,17296.0,101959.99999999977,2764.58851683944,3882.597196688481,3531.0922100719836
WILEJSKI,1913,88661.40000000002,1674.6,90336.00000000003,4388.198453312892,5057.825860611972,4661.874439543325
KROŚNIEŃSKI,1913,81979.80000000005,11139.2,93119.00000000004,1444.0489858535987,3782.6399896839785,4059.4353066635413
OSZMIAŃSKI,1913,45775.97424847877,6751.200000000001,52527.17424847877,4413.731705869003,5083.359113168085,4687.4076920994385
JAROSŁAWSKI,1913,107873.0,21766.2,129639.2,1588.748511443581,3927.33951527396,4204.134832253523
CHEŁMIŃSKI,1913,35078.79999999999,8349.6,43428.39999999999,2499.583634657076,1409.00088010438,865.0799143589707
ŚWIĘTOCHŁOWICKI,1913,127141.88345098807,35679.2,162821.08345098805,148.5390421167346,2699.3648698613383,2976.1601868409016
NOWOSĄDECKI,1913,98594.59999999998,38422.0,137016.59999999998,1101.7546943441653,3452.288023514693,3729.083340494256
KOŚCIERSKI,1913,39388.79999999999,7276.4,46665.19999999999,3220.3229068176674,1765.2545795572673,407.51592059728654
BARANOWICKI,1913,81486.19999999995,4815.799999999999,86301.99999999996,3351.2790449303902,4169.057515200144,3773.106094131497
ŚWIECKI,1913,68416.80000000005,8379.8,76796.60000000005,2643.4378984579025,1418.836940326169,533.6432931720851
LUBARTOWSKI,1913,78413.0,8847.4,87260.4,1983.61554324553,3104.5323725168187,2753.8921924418437
GRÓDECKI,1913,53431.79999999999,10675.4,64107.19999999999,2267.0921968182256,4605.683200648605,4882.478517628167
RAWSKI (RAWA MAZOWIECKA),1913,61870.59999999998,13564.4,75434.99999999997,1700.5337891399329,2164.6571945828173,2396.77710354488
BĘDZIŃSKI,1913,151512.3999999999,167459.6,318971.9999999999,308.44697255193245,2763.8016201690666,3040.5969371486294
DOBROMILSKI,1913,71699.19999999995,8460.8,80159.99999999996,1936.4914651637303,4275.082468994109,4551.877785973673
KOBRYŃSKI,1913,31737.79999999993,6693.6,38431.39999999993,2590.370380466118,3558.915722022913,3162.964300954267
