scenario,District,log_change_ma_total,log_change_ma_domestic,log_change_ma_foreign
fixed14,BIALSKI (BIAŁA KRAKOWSKA),0.60026599942098,0.2915231724318659,0.6002707346163163
fixed14,BIALSKI (BIAŁA PODLASKA),0.5329573015539282,0.5969099848078425,0.5329571379497544
fixed14,BIAŁOSTOCKI,0.5385649309717486,0.3613639709442129,0.5385656216620873
fixed14,BIELSKI (BIELSK PODLASKI),0.5327724590947973,0.6547799062039683,0.5327723118534138
fixed14,BIELSKO,0.6026793368453696,-0.03038150382549354,0.602713161000743
fixed14,BIŁGORAJSKI,0.5293694779696949,0.8248000993744853,0.529368874915118
fixed14,BOCHEŃSKI,0.5897139238645757,0.535835491212838,0.5897141393100007
fixed14,BORSZCZOWSKI,0.5314869604771069,0.7947971906278681,0.5314860753678339
fixed14,BRASŁAWSKI,0.5355067234433939,0.6912808940052306,0.5355065518615056
fixed14,BRODNICKI,0.5499953394050294,0.6728670866917081,0.5499948074995622
fixed14,BRODZKI,0.5318134570545432,0.5443870229851937,0.5318134161080899
fixed14,BRZESKI (BRZESKO),0.5729862424025747,0.2821215626893432,0.572987349127331
fixed14,BRZESKI (BRZEŚĆ N.BUG.),0.5325662904403181,0.5063441932690242,0.5325663264241598
fixed14,BRZEZIŃSKI,0.5311341754834906,0.43119174297306184,0.5311350880923982
fixed14,BRZEŻAŃSKI,0.5316711089731463,0.6947813247996075,0.531670580584656
fixed14,BRZOZOWSKI,0.5343711964765845,0.39711201572796995,0.5343720065570459
fixed14,BUCZACKI,0.5318330289389301,0.8542183043324041,0.5318319428897702
fixed14,BYDGOSKI,0.561457464357062,0.3310248714652122,0.5614590475059202
fixed14,BÓBRECKI,0.5295641039610359,0.2808227380144137,0.5295652351717486
fixed14,BĘDZIŃSKI,0.6035000646006168,1.2270335466121196,0.603491331643113
fixed14,BŁOŃSKI,0.5294804029989848,0.9775227783492184,0.5294753237824104
fixed14,CHEŁMIŃSKI,0.5559953683265668,0.6461142104680153,0.5559949185195023
fixed14,CHEŁMSKI,0.5290985061212545,0.3985010778592555,0.5290988866913473
fixed14,CHODZIESKI,0.562396531705275,0.5268315184969135,0.5623966556220559
fixed14,CHOJNICKI,0.5576313925673837,0.8600467455019221,0.557630839873891
fixed14,CHORZÓW,0.612111140305398,0.11538249144229695,0.6125560438518214
fixed14,CHRZANOWSKI,0.5925733433832114,0.7242470020650966,0.592571458652646
fixed14,CIECHANOWSKI,0.5379419651851265,0.12153187002361943,0.5379439581425203
fixed14,CIESZYŃSKI,0.606081746517642,0.35686406806116544,0.6060849023455859
fixed14,CZARNKOWSKI,0.5616237528304389,0.5361620922140871,0.5616238254967243
fixed14,CZORTKOWSKI,0.5319281560846036,0.547976557348334,0.5319280604638976
fixed14,CZĘSTOCHOWSKI,0.5382574508694944,0.6439492258691093,0.5382566555063697
fixed14,DOBROMILSKI,0.5313803397098447,0.40693176485077753,0.5313807482152022
fixed14,DOLIŃSKI,0.5321239020394906,0.6701472431290298,0.5321236361129351
fixed14,DROHICKI,0.5323482197962193,0.536212261461043,0.532348215093009
fixed14,DROHOBYCKI,0.5319880798206036,0.4155906673149161,0.5319889826189446
fixed14,DUBIEŃSKI,0.531539150299988,0.4952725249916625,0.5315392173953128
fixed14,DZIAŁDOWSKI,0.5443210456821248,0.9437876962668037,0.5443200786367051
fixed14,DZIŚNIEŃSKI,0.5327137641948703,0.4035313953065911,0.5327139151497313
fixed14,DĄBROWSKI,0.5702481670514743,0.5329673067601419,0.5702482812988592
fixed14,GARWOLIŃSKI,0.5293781551320151,0.6613319066698571,0.5293778062351535
fixed14,GNIEŹNIEŃSKI,0.5553505593173362,0.02573407107832537,0.5553529859282555
fixed14,GORLICKI,0.5722038741960205,0.5328912439513331,0.5722040199401732
fixed14,GOSTYNIŃSKI,0.5406888896707471,0.11267995121181151,0.5406905999557701
fixed14,GOSTYŃSKI,0.5753303769244233,0.3762307533976763,0.5753312700244493
fixed14,GRODZIEŃSKI,0.5365519803034786,0.518072067717215,0.5365520066248344
fixed14,GRUDZIĄDZKI,0.5512497897168629,0.7567584985467599,0.5512480239005733
fixed14,GRÓDECKI,0.5325709041376641,0.3432057941242448,0.5325716778215899
fixed14,GRÓJECKI,0.561425696015764,0.48798750743722774,0.5614260900474832
fixed14,HOROCHOWSKI,0.5317423608918794,-0.15627466524359512,0.5317446046595009
fixed14,HORODEŃSKI,0.5317305235520564,0.5835966114972742,0.5317303051248317
fixed14,HRUBIESZOWSKI,0.5293105540801406,0.613382658123296,0.529310261035981
fixed14,INOWROCŁAWSKI,0.5717776344208119,0.16310876961881515,0.5717796750715927
fixed14,IWACEWICKI,0.533346513046169,0.42898851156575546,0.5333466208314839
fixed14,IŁŻECKI,0.5322577328497999,0.5427348045655176,0.532257699985859
fixed14,JANOWSKI,0.5327297377195563,0.7867011630842624,0.5327291009181359
fixed14,JAROCIŃSKI,0.5794050340005725,0.276301102750649,0.5794061546349134
fixed14,JAROSŁAWSKI,0.5305863669127682,0.42854474956361077,0.5305867051683109
