District,Pszenica,Żyto,Jęczmień browarny,Jęczmień na kaszę,Owies,Gryka,Groch,Ziemniaki jadalne,Ziemniaki fabryczne,Siano - koniczyny,Siano - łąkowe,Słoma
LUBLIN (MIASTO),16.0,10.87,0.0,11.21,11.33,0.0,19.17,3.12,0.0,5.71,3.78,2.43
BÓBRECKI,15.5,10.88,12.75,11.14,11.25,13.75,19.75,3.0,0.0,5.21,4.21,2.71
BRZOZOWSKI,16.54,13.0,0.0,12.73,12.33,0.0,21.5,3.72,2.5,5.4,4.85,2.39
DOBROMILSKI,15.8,11.8,0.0,12.0,9.8,0.0,17.38,3.05,0.0,6.0,4.2,3.0
DROHOBYCKI,16.22,12.56,0.0,11.71,10.67,18.0,20.0,3.28,0.0,4.33,3.33,2.56
GRÓDECKI,15.0,11.25,12.5,11.4,11.91,12.5,19.17,3.94,2.83,5.0,3.81,2.6
JAROSŁAWSKI,15.42,12.05,12.55,11.69,11.89,14.25,25.25,3.23,2.86,4.72,3.87,2.14
JAWOROWSKI,15.19,11.19,11.4,11.0,11.13,13.89,16.83,3.29,3.25,5.06,3.62,2.42
KOLBUSZOWSKI,16.56,11.5,12.17,11.36,11.25,14.29,19.78,3.04,2.0,6.08,4.29,2.71
KROŚNIEŃSKI,16.53,12.82,14.0,12.13,12.41,0.0,20.0,3.16,2.13,5.57,4.32,2.71
LESKI,17.1,12.92,0.0,11.71,10.69,0.0,21.5,3.54,0.0,4.5,3.73,2.95
LWOWSKI,15.73,11.64,13.0,11.44,11.45,13.2,18.0,3.43,0.0,4.5,3.4,2.65
LWÓW (MIASTO),15.73,11.64,0.0,11.44,11.45,0.0,18.0,3.43,0.0,4.5,3.4,2.65
ŁAŃCUCKI,15.38,11.56,11.0,10.8,10.75,14.88,24.33,3.46,0.0,5.07,4.06,2.0
MOŚCISKI,15.53,11.44,12.6,11.14,11.0,17.0,20.25,3.05,2.33,4.79,4.02,2.32
NIŻAŃSKI,15.73,11.91,11.33,11.13,11.73,13.2,27.5,3.89,3.5,5.79,4.45,2.45
PRZEMYSKI,15.46,11.63,12.82,11.5,11.0,0.0,17.38,3.26,2.79,4.67,4.0,2.28
PRZEWORSKI,15.25,11.08,12.0,10.82,10.82,0.0,25.0,3.2,0.0,4.81,4.16,2.16
RAWSKI (RAWA RUSKA),14.73,11.07,10.33,10.13,10.36,15.43,16.2,3.15,2.38,4.38,3.06,2.0
RUDECKI,15.57,11.93,12.0,11.14,10.86,12.5,19.17,2.8,2.44,4.29,2.96,2.42
RZESZOWSKI,16.35,12.17,12.73,11.88,11.82,13.2,20.86,3.93,3.5,5.94,4.89,2.39
SAMBORSKI,15.63,11.5,10.75,10.62,11.13,13.67,19.33,2.91,2.0,5.05,3.79,2.36
SANOCKI,17.5,14.2,13.5,12.89,12.88,0.0,21.5,3.53,0.0,5.75,4.11,2.45
SOKALSKI,14.6,10.73,10.57,10.21,10.36,13.0,17.63,3.06,2.78,4.04,3.32,1.98
TARNOBRZESKI,14.6,10.82,14.0,10.13,9.7,0.0,22.0,3.46,0.0,5.25,4.06,2.5
ŻÓŁKIEWSKI,14.31,11.06,12.0,10.14,10.47,13.88,16.8,3.27,2.43,4.87,3.57,2.46
LUBACZOWSKI,14.5,10.9,11.5,10.71,10.67,15.4,21.0,3.22,2.38,5.21,3.85,2.31
TURCZAŃSKI,15.63,11.78,0.0,12.0,12.09,0.0,19.33,3.88,0.0,4.45,3.67,2.19
BRZEZIŃSKI,17.0,12.59,0.0,13.33,13.65,16.0,25.25,3.2,0.0,7.78,6.02,2.9
KALISKI,17.07,12.27,13.17,12.0,12.57,0.0,24.67,3.49,2.35,8.0,6.67,2.46
KOLSKI,16.38,11.92,13.4,12.36,12.46,0.0,19.6,3.55,0.0,6.8,5.81,2.86
KONIŃSKI,16.14,11.81,13.0,12.11,12.4,15.8,21.67,3.73,2.9,7.93,6.44,3.16
ŁASKI,17.45,12.77,14.67,14.07,14.0,16.5,21.8,3.25,2.78,8.77,6.41,2.91
ŁĘCZYCKI,17.0,12.47,13.25,13.0,13.5,13.5,18.0,3.7,3.08,8.38,6.19,3.18
ŁÓDZKI,17.93,12.81,14.5,13.67,14.44,18.0,25.25,3.76,3.5,10.35,7.33,3.6
ŁÓDŹ (MIASTO),17.93,12.81,0.0,13.67,14.44,0.0,25.25,3.76,0.0,10.35,7.33,3.6
PIOTRKOWSKI,16.35,12.41,14.0,12.62,13.82,14.5,24.0,3.21,0.0,8.32,5.7,2.63
RADOMSZCZAŃSKI,15.9,11.43,14.0,12.33,12.17,16.5,20.0,2.48,1.88,6.0,4.81,2.28
SIERADZKI,17.05,12.6,14.25,12.38,13.05,18.33,22.17,3.37,2.6,8.23,6.06,2.76
TURECKI,17.0,12.31,13.2,12.57,12.87,0.0,22.67,3.48,0.0,7.75,6.53,2.7
WIELUŃSKI,16.54,12.08,0.0,13.0,12.69,15.33,22.25,3.43,0.0,6.0,5.5,2.97
POŁUDNIOWO-WARSZAWSKI,17.0,11.94,0.0,13.0,13.62,0.0,19.33,4.68,0.0,6.68,5.27,3.36
PÓŁNOCNO-WARSZAWSKI,17.0,11.94,0.0,13.0,13.62,0.0,19.33,4.68,0.0,6.68,5.27,3.36
PRASKO-WARSZAWSKI,17.0,11.94,0.0,13.0,13.62,0.0,19.33,4.68,0.0,6.68,5.27,3.36
ŚRÓDMIEJSKO-WARSZAWSKI,17.0,11.94,0.0,13.0,13.62,0.0,19.33,4.68,0.0,6.68,5.27,3.36
BARANOWICKI,15.23,10.27,10.86,10.25,11.07,13.1,16.57,2.49,1.87,4.27,3.36,1.8
BRASŁAWSKI,12.6,8.81,10.0,9.07,8.87,9.5,9.78,2.16,0.0,3.54,2.51,1.76
LIDZKI,15.55,10.56,11.5,10.63,9.94,12.33,14.33,2.33,1.78,4.06,2.94,1.88
NIEŚWIESKI,14.83,10.08,11.0,10.5,11.0,12.63,16.8,2.44,2.2,5.03,3.8,1.9
NOWOGRÓDZKI,14.73,9.47,0.0,9.8,10.06,11.89,15.86,2.51,2.4,3.54,2.65,1.51
SŁONIMSKI,14.47,9.39,10.86,10.29,10.67,12.17,15.38,2.28,2.08,3.69,2.68,1.55
STOŁPECKI,13.93,10.07,10.33,10.14,10.53,12.58,16.8,2.12,0.0,4.33,3.55,1.41
WOŁOŻYŃSKI,14.64,9.4,9.67,9.65,9.79,11.5,12.13,2.76,1.97,3.96,3.31,2.02
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),15.18,10.31,11.17,10.08,10.07,12.0,16.0,2.65,1.93,3.51,2.76,1.83
BRZESKI (BRZEŚĆ N.BUG.),15.2,10.11,12.0,11.0,11.39,13.08,15.3,2.37,1.75,4.35,3.07,1.84
DROHICKI,14.75,10.57,0.0,10.58,10.64,11.18,13.5,2.44,2.4,3.63,2.37,1.78
KOBRYŃSKI,14.92,10.07,11.5,10.57,10.93,11.92,15.8,2.76,0.0,3.73,2.44,1.93
KOSZYRSKI,13.4,9.36,0.0,9.89,9.7,12.17,12.8,2.54,0.0,3.33,2.38,1.37
ŁUNINIECKI,14.83,9.71,0.0,11.67,11.0,9.67,14.0,2.78,0.0,5.03,2.93,1.37
PIŃSKI,15.38,10.9,0.0,11.44,10.86,11.64,16.7,2.57,0.0,3.59,2.18,1.47
PRUŻAŃSKI,14.18,9.65,10.56,10.53,11.0,12.5,15.5,2.57,2.03,4.18,3.09,1.83
STOLIŃSKI,14.0,9.75,0.0,9.8,9.62,9.43,16.5,2.86,2.5,4.73,2.32,1.43
